PC: 0x0000000080000000, INSTR: 0x08005637, REG x12: 0x0000000008005000
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x007630b7, REG x1: 0x0000000000763000
PC: 0x0000000080000098, INSTR: 0xcf10809b, REG x1: 0x0000000000762cf1
PC: 0x000000008000009c, INSTR: 0x00c09093, REG x1: 0x0000000762cf1000
PC: 0x00000000800000a0, INSTR: 0xae108093, REG x1: 0x0000000762cf0ae1
PC: 0x00000000800000a4, INSTR: 0x00d09093, REG x1: 0x0000ec59e15c2000
PC: 0x00000000800000a8, INSTR: 0x16f08093, REG x1: 0x0000ec59e15c216f
PC: 0x00000000800000ac, INSTR: 0x00e09093, REG x1: 0x3b167857085bc000
PC: 0x00000000800000b0, INSTR: 0xfcb08093, REG x1: 0x3b167857085bbfcb
PC: 0x00000000800000b4, INSTR: 0x01ee51b7, REG x3: 0x0000000001ee5000
PC: 0x00000000800000b8, INSTR: 0x6b11819b, REG x3: 0x0000000001ee56b1
PC: 0x00000000800000bc, INSTR: 0x00e19193, REG x3: 0x0000007b95ac4000
PC: 0x00000000800000c0, INSTR: 0xbc518193, REG x3: 0x0000007b95ac3bc5
PC: 0x00000000800000c4, INSTR: 0x00c19193, REG x3: 0x0007b95ac3bc5000
PC: 0x00000000800000c8, INSTR: 0x35318193, REG x3: 0x0007b95ac3bc5353
PC: 0x00000000800000cc, INSTR: 0x00c19193, REG x3: 0x7b95ac3bc5353000
PC: 0x00000000800000d0, INSTR: 0x32a18193, REG x3: 0x7b95ac3bc535332a
PC: 0x00000000800000d4, INSTR: 0xfec37237, REG x4: 0xfffffffffec37000
PC: 0x00000000800000d8, INSTR: 0xb652021b, REG x4: 0xfffffffffec36b65
PC: 0x00000000800000dc, INSTR: 0x00d21213, REG x4: 0xffffffd86d6ca000
PC: 0x00000000800000e0, INSTR: 0x73d20213, REG x4: 0xffffffd86d6ca73d
PC: 0x00000000800000e4, INSTR: 0x00c21213, REG x4: 0xfffd86d6ca73d000
PC: 0x00000000800000e8, INSTR: 0xe9120213, REG x4: 0xfffd86d6ca73ce91
PC: 0x00000000800000ec, INSTR: 0x00d21213, REG x4: 0xb0dad94e79d22000
PC: 0x00000000800000f0, INSTR: 0x2d920213, REG x4: 0xb0dad94e79d222d9
PC: 0x00000000800000f4, INSTR: 0xff60c2b7, REG x5: 0xffffffffff60c000
PC: 0x00000000800000f8, INSTR: 0x8b32829b, REG x5: 0xffffffffff60b8b3
PC: 0x00000000800000fc, INSTR: 0x00e29293, REG x5: 0xffffffd82e2cc000
PC: 0x0000000080000100, INSTR: 0x03d28293, REG x5: 0xffffffd82e2cc03d
PC: 0x0000000080000104, INSTR: 0x00c29293, REG x5: 0xfffd82e2cc03d000
PC: 0x0000000080000108, INSTR: 0xa3328293, REG x5: 0xfffd82e2cc03ca33
PC: 0x000000008000010c, INSTR: 0x00c29293, REG x5: 0xd82e2cc03ca33000
PC: 0x0000000080000110, INSTR: 0x12628293, REG x5: 0xd82e2cc03ca33126
PC: 0x0000000080000114, INSTR: 0x00f13337, REG x6: 0x0000000000f13000
PC: 0x0000000080000118, INSTR: 0xcb93031b, REG x6: 0x0000000000f12cb9
PC: 0x000000008000011c, INSTR: 0x00e31313, REG x6: 0x0000003c4b2e4000
PC: 0x0000000080000120, INSTR: 0xab530313, REG x6: 0x0000003c4b2e3ab5
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x0003c4b2e3ab5000
PC: 0x0000000080000128, INSTR: 0xded30313, REG x6: 0x0003c4b2e3ab4ded
PC: 0x000000008000012c, INSTR: 0x00d31313, REG x6: 0x78965c7569bda000
PC: 0x0000000080000130, INSTR: 0x3f630313, REG x6: 0x78965c7569bda3f6
PC: 0x0000000080000134, INSTR: 0x48e273b7, REG x7: 0x0000000048e27000
PC: 0x0000000080000138, INSTR: 0x00839393, REG x7: 0x00000048e2700000
PC: 0x000000008000013c, INSTR: 0x2f338393, REG x7: 0x00000048e27002f3
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0x00048e27002f3000
PC: 0x0000000080000144, INSTR: 0x4d338393, REG x7: 0x00048e27002f34d3
PC: 0x0000000080000148, INSTR: 0x00c39393, REG x7: 0x48e27002f34d3000
PC: 0x000000008000014c, INSTR: 0xf1d38393, REG x7: 0x48e27002f34d2f1d
PC: 0x0000000080000150, INSTR: 0xff21d437, REG x8: 0xffffffffff21d000
PC: 0x0000000080000154, INSTR: 0xb794041b, REG x8: 0xffffffffff21cb79
PC: 0x0000000080000158, INSTR: 0x00d41413, REG x8: 0xffffffe4396f2000
PC: 0x000000008000015c, INSTR: 0x0f740413, REG x8: 0xffffffe4396f20f7
PC: 0x0000000080000160, INSTR: 0x00d41413, REG x8: 0xfffc872de41ee000
PC: 0x0000000080000164, INSTR: 0xd5340413, REG x8: 0xfffc872de41edd53
PC: 0x0000000080000168, INSTR: 0x00d41413, REG x8: 0x90e5bc83dbaa6000
PC: 0x000000008000016c, INSTR: 0x7fa40413, REG x8: 0x90e5bc83dbaa67fa
PC: 0x0000000080000170, INSTR: 0x898bd4b7, REG x9: 0xffffffff898bd000
PC: 0x0000000080000174, INSTR: 0x6134849b, REG x9: 0xffffffff898bd613
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xfffff898bd613000
PC: 0x000000008000017c, INSTR: 0xa9f48493, REG x9: 0xfffff898bd612a9f
PC: 0x0000000080000180, INSTR: 0x00d49493, REG x9: 0xff1317ac2553e000
PC: 0x0000000080000184, INSTR: 0x35148493, REG x9: 0xff1317ac2553e351
PC: 0x0000000080000188, INSTR: 0x0014d493, REG x9: 0x7f898bd612a9f1a8
PC: 0x000000008000018c, INSTR: 0x005d3537, REG x10: 0x00000000005d3000
PC: 0x0000000080000190, INSTR: 0x4095051b, REG x10: 0x00000000005d3409
PC: 0x0000000080000194, INSTR: 0x00c51513, REG x10: 0x00000005d3409000
PC: 0x0000000080000198, INSTR: 0xdaf50513, REG x10: 0x00000005d3408daf
PC: 0x000000008000019c, INSTR: 0x00e51513, REG x10: 0x000174d0236bc000
PC: 0x00000000800001a0, INSTR: 0x49550513, REG x10: 0x000174d0236bc495
PC: 0x00000000800001a4, INSTR: 0x00d51513, REG x10: 0x2e9a046d7892a000
PC: 0x00000000800001a8, INSTR: 0x85150513, REG x10: 0x2e9a046d78929851
PC: 0x00000000800001ac, INSTR: 0xffe205b7, REG x11: 0xffffffffffe20000
PC: 0x00000000800001b0, INSTR: 0x08b5859b, REG x11: 0xffffffffffe2008b
PC: 0x00000000800001b4, INSTR: 0x00e59593, REG x11: 0xfffffff88022c000
PC: 0x00000000800001b8, INSTR: 0x18358593, REG x11: 0xfffffff88022c183
PC: 0x00000000800001bc, INSTR: 0x00f59593, REG x11: 0xfffc401160c18000
PC: 0x00000000800001c0, INSTR: 0x0dd58593, REG x11: 0xfffc401160c180dd
PC: 0x00000000800001c4, INSTR: 0x00d59593, REG x11: 0x88022c18301ba000
PC: 0x00000000800001c8, INSTR: 0xfa758593, REG x11: 0x88022c18301b9fa7
PC: 0x00000000800001cc, INSTR: 0x006c3637, REG x12: 0x00000000006c3000
PC: 0x00000000800001d0, INSTR: 0x20d6061b, REG x12: 0x00000000006c320d
PC: 0x00000000800001d4, INSTR: 0x00e61613, REG x12: 0x0000001b0c834000
PC: 0x00000000800001d8, INSTR: 0xfd360613, REG x12: 0x0000001b0c833fd3
PC: 0x00000000800001dc, INSTR: 0x00c61613, REG x12: 0x0001b0c833fd3000
PC: 0x00000000800001e0, INSTR: 0x8b160613, REG x12: 0x0001b0c833fd28b1
PC: 0x00000000800001e4, INSTR: 0x00c61613, REG x12: 0x1b0c833fd28b1000
PC: 0x00000000800001e8, INSTR: 0xccb60613, REG x12: 0x1b0c833fd28b0ccb
PC: 0x00000000800001ec, INSTR: 0x003166b7, REG x13: 0x0000000000316000
PC: 0x00000000800001f0, INSTR: 0x4f76869b, REG x13: 0x00000000003164f7
PC: 0x00000000800001f4, INSTR: 0x00d69693, REG x13: 0x000000062c9ee000
PC: 0x00000000800001f8, INSTR: 0x7ff68693, REG x13: 0x000000062c9ee7ff
PC: 0x00000000800001fc, INSTR: 0x00c69693, REG x13: 0x000062c9ee7ff000
PC: 0x0000000080000200, INSTR: 0xf1768693, REG x13: 0x000062c9ee7fef17
PC: 0x0000000080000204, INSTR: 0x00c69693, REG x13: 0x062c9ee7fef17000
PC: 0x0000000080000208, INSTR: 0xa4568693, REG x13: 0x062c9ee7fef16a45
PC: 0x000000008000020c, INSTR: 0xd525b737, REG x14: 0xffffffffd525b000
PC: 0x0000000080000210, INSTR: 0x2a17071b, REG x14: 0xffffffffd525b2a1
PC: 0x0000000080000214, INSTR: 0x00d71713, REG x14: 0xfffffaa4b6542000
PC: 0x0000000080000218, INSTR: 0x67f70713, REG x14: 0xfffffaa4b654267f
PC: 0x000000008000021c, INSTR: 0x00d71713, REG x14: 0xff5496ca84cfe000
PC: 0x0000000080000220, INSTR: 0x72f70713, REG x14: 0xff5496ca84cfe72f
PC: 0x0000000080000224, INSTR: 0x00471713, REG x14: 0xf5496ca84cfe72f0
PC: 0x0000000080000228, INSTR: 0xffd177b7, REG x15: 0xffffffffffd17000
PC: 0x000000008000022c, INSTR: 0x4897879b, REG x15: 0xffffffffffd17489
PC: 0x0000000080000230, INSTR: 0x00c79793, REG x15: 0xfffffffd17489000
PC: 0x0000000080000234, INSTR: 0x82978793, REG x15: 0xfffffffd17488829
PC: 0x0000000080000238, INSTR: 0x01079793, REG x15: 0xfffd174888290000
PC: 0x000000008000023c, INSTR: 0xa7178793, REG x15: 0xfffd17488828fa71
PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0xd17488828fa71000
PC: 0x0000000080000244, INSTR: 0xc0e78793, REG x15: 0xd17488828fa70c0e
PC: 0x0000000080000248, INSTR: 0x01a82837, REG x16: 0x0000000001a82000
PC: 0x000000008000024c, INSTR: 0x9c38081b, REG x16: 0x0000000001a819c3
PC: 0x0000000080000250, INSTR: 0x00e81813, REG x16: 0x0000006a0670c000
PC: 0x0000000080000254, INSTR: 0x6d980813, REG x16: 0x0000006a0670c6d9
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0x0006a0670c6d9000
PC: 0x000000008000025c, INSTR: 0x07180813, REG x16: 0x0006a0670c6d9071
PC: 0x0000000080000260, INSTR: 0x00c81813, REG x16: 0x6a0670c6d9071000
PC: 0x0000000080000264, INSTR: 0x24680813, REG x16: 0x6a0670c6d9071246
PC: 0x0000000080000268, INSTR: 0x001488b7, REG x17: 0x0000000000148000
PC: 0x000000008000026c, INSTR: 0x2658889b, REG x17: 0x0000000000148265
PC: 0x0000000080000270, INSTR: 0x00f89893, REG x17: 0x0000000a41328000
PC: 0x0000000080000274, INSTR: 0x68388893, REG x17: 0x0000000a41328683
PC: 0x0000000080000278, INSTR: 0x00d89893, REG x17: 0x0001482650d06000
PC: 0x000000008000027c, INSTR: 0x44b88893, REG x17: 0x0001482650d0644b
PC: 0x0000000080000280, INSTR: 0x00c89893, REG x17: 0x1482650d0644b000
PC: 0x0000000080000284, INSTR: 0x43688893, REG x17: 0x1482650d0644b436
PC: 0x0000000080000288, INSTR: 0xff946937, REG x18: 0xffffffffff946000
PC: 0x000000008000028c, INSTR: 0x78f9091b, REG x18: 0xffffffffff94678f
PC: 0x0000000080000290, INSTR: 0x00f91913, REG x18: 0xffffffca33c78000
PC: 0x0000000080000294, INSTR: 0xcb190913, REG x18: 0xffffffca33c77cb1
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0xfffca33c77cb1000
PC: 0x000000008000029c, INSTR: 0x14790913, REG x18: 0xfffca33c77cb1147
PC: 0x00000000800002a0, INSTR: 0x00d91913, REG x18: 0x94678ef96228e000
PC: 0x00000000800002a4, INSTR: 0x65790913, REG x18: 0x94678ef96228e657
PC: 0x00000000800002a8, INSTR: 0xfdba29b7, REG x19: 0xfffffffffdba2000
PC: 0x00000000800002ac, INSTR: 0x5ef9899b, REG x19: 0xfffffffffdba25ef
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0xffffffdba25ef000
PC: 0x00000000800002b4, INSTR: 0x8e998993, REG x19: 0xffffffdba25ee8e9
PC: 0x00000000800002b8, INSTR: 0x00c99993, REG x19: 0xfffdba25ee8e9000
PC: 0x00000000800002bc, INSTR: 0x94198993, REG x19: 0xfffdba25ee8e8941
PC: 0x00000000800002c0, INSTR: 0x00c99993, REG x19: 0xdba25ee8e8941000
PC: 0x00000000800002c4, INSTR: 0x33d98993, REG x19: 0xdba25ee8e894133d
PC: 0x00000000800002c8, INSTR: 0x03e2aa37, REG x20: 0x0000000003e2a000
PC: 0x00000000800002cc, INSTR: 0xb67a0a1b, REG x20: 0x0000000003e29b67
PC: 0x00000000800002d0, INSTR: 0x00ca1a13, REG x20: 0x0000003e29b67000
PC: 0x00000000800002d4, INSTR: 0x403a0a13, REG x20: 0x0000003e29b67403
PC: 0x00000000800002d8, INSTR: 0x00ca1a13, REG x20: 0x0003e29b67403000
PC: 0x00000000800002dc, INSTR: 0x3d1a0a13, REG x20: 0x0003e29b674033d1
PC: 0x00000000800002e0, INSTR: 0x00ca1a13, REG x20: 0x3e29b674033d1000
PC: 0x00000000800002e4, INSTR: 0x05fa0a13, REG x20: 0x3e29b674033d105f
PC: 0x00000000800002e8, INSTR: 0x942cdab7, REG x21: 0xffffffff942cd000
PC: 0x00000000800002ec, INSTR: 0x241a8a9b, REG x21: 0xffffffff942cd241
PC: 0x00000000800002f0, INSTR: 0x00ca9a93, REG x21: 0xfffff942cd241000
PC: 0x00000000800002f4, INSTR: 0x8ada8a93, REG x21: 0xfffff942cd2408ad
PC: 0x00000000800002f8, INSTR: 0x012a9a93, REG x21: 0xe50b349022b40000
PC: 0x00000000800002fc, INSTR: 0x734a8a93, REG x21: 0xe50b349022b40734
PC: 0x0000000080000300, INSTR: 0xfa4acb37, REG x22: 0xfffffffffa4ac000
PC: 0x0000000080000304, INSTR: 0x2fdb0b1b, REG x22: 0xfffffffffa4ac2fd
PC: 0x0000000080000308, INSTR: 0x00cb1b13, REG x22: 0xffffffa4ac2fd000
PC: 0x000000008000030c, INSTR: 0x903b0b13, REG x22: 0xffffffa4ac2fc903
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0xfffa4ac2fc903000
PC: 0x0000000080000314, INSTR: 0x063b0b13, REG x22: 0xfffa4ac2fc903063
PC: 0x0000000080000318, INSTR: 0x00cb1b13, REG x22: 0xa4ac2fc903063000
PC: 0x000000008000031c, INSTR: 0x599b0b13, REG x22: 0xa4ac2fc903063599
PC: 0x0000000080000320, INSTR: 0x00a6cbb7, REG x23: 0x0000000000a6c000
PC: 0x0000000080000324, INSTR: 0x8b1b8b9b, REG x23: 0x0000000000a6b8b1
PC: 0x0000000080000328, INSTR: 0x00eb9b93, REG x23: 0x00000029ae2c4000
PC: 0x000000008000032c, INSTR: 0xd35b8b93, REG x23: 0x00000029ae2c3d35
PC: 0x0000000080000330, INSTR: 0x00cb9b93, REG x23: 0x00029ae2c3d35000
PC: 0x0000000080000334, INSTR: 0x11fb8b93, REG x23: 0x00029ae2c3d3511f
PC: 0x0000000080000338, INSTR: 0x00cb9b93, REG x23: 0x29ae2c3d3511f000
PC: 0x000000008000033c, INSTR: 0x334b8b93, REG x23: 0x29ae2c3d3511f334
PC: 0x0000000080000340, INSTR: 0x000e7c37, REG x24: 0x00000000000e7000
PC: 0x0000000080000344, INSTR: 0x1c9c0c1b, REG x24: 0x00000000000e71c9
PC: 0x0000000080000348, INSTR: 0x00cc1c13, REG x24: 0x00000000e71c9000
PC: 0x000000008000034c, INSTR: 0x51dc0c13, REG x24: 0x00000000e71c951d
PC: 0x0000000080000350, INSTR: 0x00ec1c13, REG x24: 0x000039c725474000
PC: 0x0000000080000354, INSTR: 0xc7bc0c13, REG x24: 0x000039c725473c7b
PC: 0x0000000080000358, INSTR: 0x00ec1c13, REG x24: 0x0e71c951cf1ec000
PC: 0x000000008000035c, INSTR: 0x8c2c0c13, REG x24: 0x0e71c951cf1eb8c2
PC: 0x0000000080000360, INSTR: 0x00c72cb7, REG x25: 0x0000000000c72000
PC: 0x0000000080000364, INSTR: 0xe33c8c9b, REG x25: 0x0000000000c71e33
PC: 0x0000000080000368, INSTR: 0x00cc9c93, REG x25: 0x0000000c71e33000
PC: 0x000000008000036c, INSTR: 0x1b1c8c93, REG x25: 0x0000000c71e331b1
PC: 0x0000000080000370, INSTR: 0x00dc9c93, REG x25: 0x00018e3c66362000
PC: 0x0000000080000374, INSTR: 0xf13c8c93, REG x25: 0x00018e3c66361f13
PC: 0x0000000080000378, INSTR: 0x00cc9c93, REG x25: 0x18e3c66361f13000
PC: 0x000000008000037c, INSTR: 0x3f1c8c93, REG x25: 0x18e3c66361f133f1
PC: 0x0000000080000380, INSTR: 0xc1423d37, REG x26: 0xffffffffc1423000
PC: 0x0000000080000384, INSTR: 0x002d1d13, REG x26: 0xffffffff0508c000
PC: 0x0000000080000388, INSTR: 0xb21d0d13, REG x26: 0xffffffff0508bb21
PC: 0x000000008000038c, INSTR: 0x00dd1d13, REG x26: 0xffffe0a117642000
PC: 0x0000000080000390, INSTR: 0x115d0d13, REG x26: 0xffffe0a117642115
PC: 0x0000000080000394, INSTR: 0x00dd1d13, REG x26: 0xfc1422ec8422a000
PC: 0x0000000080000398, INSTR: 0x43bd0d13, REG x26: 0xfc1422ec8422a43b
PC: 0x000000008000039c, INSTR: 0xfcefadb7, REG x27: 0xfffffffffcefa000
PC: 0x00000000800003a0, INSTR: 0x897d8d9b, REG x27: 0xfffffffffcef9897
PC: 0x00000000800003a4, INSTR: 0x011d9d93, REG x27: 0xfffff9df312e0000
PC: 0x00000000800003a8, INSTR: 0x0a9d8d93, REG x27: 0xfffff9df312e00a9
PC: 0x00000000800003ac, INSTR: 0x010d9d93, REG x27: 0xf9df312e00a90000
PC: 0x00000000800003b0, INSTR: 0x883d8d93, REG x27: 0xf9df312e00a8f883
PC: 0x00000000800003b4, INSTR: 0x002d9d93, REG x27: 0xe77cc4b802a3e20c
PC: 0x00000000800003b8, INSTR: 0x99271e37, REG x28: 0xffffffff99271000
PC: 0x00000000800003bc, INSTR: 0xd39e0e1b, REG x28: 0xffffffff99270d39
PC: 0x00000000800003c0, INSTR: 0x00de1e13, REG x28: 0xfffff324e1a72000
PC: 0x00000000800003c4, INSTR: 0x297e0e13, REG x28: 0xfffff324e1a72297
PC: 0x00000000800003c8, INSTR: 0x00ee1e13, REG x28: 0xfcc93869c8a5c000
PC: 0x00000000800003cc, INSTR: 0xeb5e0e13, REG x28: 0xfcc93869c8a5beb5
PC: 0x00000000800003d0, INSTR: 0xffe1ceb7, REG x29: 0xffffffffffe1c000
PC: 0x00000000800003d4, INSTR: 0x6e7e8e9b, REG x29: 0xffffffffffe1c6e7
PC: 0x00000000800003d8, INSTR: 0x00de9e93, REG x29: 0xfffffffc38dce000
PC: 0x00000000800003dc, INSTR: 0x231e8e93, REG x29: 0xfffffffc38dce231
PC: 0x00000000800003e0, INSTR: 0x010e9e93, REG x29: 0xfffc38dce2310000
PC: 0x00000000800003e4, INSTR: 0x941e8e93, REG x29: 0xfffc38dce230f941
PC: 0x00000000800003e8, INSTR: 0x00de9e93, REG x29: 0x871b9c461f282000
PC: 0x00000000800003ec, INSTR: 0x732e8e93, REG x29: 0x871b9c461f282732
PC: 0x00000000800003f0, INSTR: 0xff918f37, REG x30: 0xffffffffff918000
PC: 0x00000000800003f4, INSTR: 0xd0df0f1b, REG x30: 0xffffffffff917d0d
PC: 0x00000000800003f8, INSTR: 0x00df1f13, REG x30: 0xfffffff22fa1a000
PC: 0x00000000800003fc, INSTR: 0xc45f0f13, REG x30: 0xfffffff22fa19c45
PC: 0x0000000080000400, INSTR: 0x00cf1f13, REG x30: 0xffff22fa19c45000
PC: 0x0000000080000404, INSTR: 0xc83f0f13, REG x30: 0xffff22fa19c44c83
PC: 0x0000000080000408, INSTR: 0x00ef1f13, REG x30: 0xc8be86711320c000
PC: 0x000000008000040c, INSTR: 0x1d2f0f13, REG x30: 0xc8be86711320c1d2
PC: 0x0000000080000410, INSTR: 0xfff38fb7, REG x31: 0xfffffffffff38000
PC: 0x0000000080000414, INSTR: 0x9f9f8f9b, REG x31: 0xfffffffffff379f9
PC: 0x0000000080000418, INSTR: 0x00cf9f93, REG x31: 0xffffffff379f9000
PC: 0x000000008000041c, INSTR: 0x4e7f8f93, REG x31: 0xffffffff379f94e7
PC: 0x0000000080000420, INSTR: 0x00ef9f93, REG x31: 0xffffcde7e539c000
PC: 0x0000000080000424, INSTR: 0x341f8f93, REG x31: 0xffffcde7e539c341
PC: 0x0000000080000428, INSTR: 0x00ef9f93, REG x31: 0xf379f94e70d04000
PC: 0x000000008000042c, INSTR: 0xb27f8f93, REG x31: 0xf379f94e70d03b27
PC: 0x0000000080000430, INSTR: 0x40015b37, REG x22: 0x0000000040015000
PC: 0x0000000080000434, INSTR: 0x001b1b13, REG x22: 0x000000008002a000
PC: 0x0000000080000438, INSTR: 0x806b0b13, REG x22: 0x0000000080029806
PC: 0x000000008000043c, INSTR: 0xa82b3e83, REG x29: 0x0000000000000000, MEM 0x0000000080029288
PC: 0x0000000080000440, INSTR: 0x4001f5b7, REG x11: 0x000000004001f000
PC: 0x0000000080000444, INSTR: 0x5135859b, REG x11: 0x000000004001f513
PC: 0x0000000080000448, INSTR: 0x00159593, REG x11: 0x000000008003ea26
PC: 0x000000008000044c, INSTR: 0xc7a5b003, MEM 0x000000008003e6a0
PC: 0x0000000080000450, INSTR: 0x40025eb7, REG x29: 0x0000000040025000
PC: 0x0000000080000454, INSTR: 0x9f3e8e9b, REG x29: 0x00000000400249f3
PC: 0x0000000080000458, INSTR: 0x001e9e93, REG x29: 0x00000000800493e6
PC: 0x000000008000045c, INSTR: 0x2d2eb603, REG x12: 0x0000000000000000, MEM 0x00000000800496b8
PC: 0x0000000080000460, INSTR: 0x40013637, REG x12: 0x0000000040013000
PC: 0x0000000080000464, INSTR: 0xbb96061b, REG x12: 0x0000000040012bb9
PC: 0x0000000080000468, INSTR: 0x00161613, REG x12: 0x0000000080025772
PC: 0x000000008000046c, INSTR: 0x74663b83, REG x23: 0x0000000000000000, MEM 0x0000000080025eb8
PC: 0x0000000080000470, INSTR: 0x10006237, REG x4: 0x0000000010006000
PC: 0x0000000080000474, INSTR: 0x1972021b, REG x4: 0x0000000010006197
PC: 0x0000000080000478, INSTR: 0x00321213, REG x4: 0x0000000080030cb8
PC: 0x000000008000047c, INSTR: 0x53023903, REG x18: 0x0000000000000000, MEM 0x00000000800311e8
PC: 0x0000000080000480, INSTR: 0x20013337, REG x6: 0x0000000020013000
PC: 0x0000000080000484, INSTR: 0x00231313, REG x6: 0x000000008004c000
PC: 0x0000000080000488, INSTR: 0x6a430313, REG x6: 0x000000008004c6a4
PC: 0x000000008000048c, INSTR: 0xc1433203, REG x4: 0x0000000000000000, MEM 0x000000008004c2b8
PC: 0x0000000080000490, INSTR: 0x100076b7, REG x13: 0x0000000010007000
PC: 0x0000000080000494, INSTR: 0x00369693, REG x13: 0x0000000080038000
PC: 0x0000000080000498, INSTR: 0x40068693, REG x13: 0x0000000080038400
PC: 0x000000008000049c, INSTR: 0xdc06b883, REG x17: 0x0000000000000000, MEM 0x00000000800381c0
PC: 0x00000000800004a0, INSTR: 0x000800b7, REG x1: 0x0000000000080000
PC: 0x00000000800004a4, INSTR: 0x0490809b, REG x1: 0x0000000000080049
PC: 0x00000000800004a8, INSTR: 0x00c09093, REG x1: 0x0000000080049000
PC: 0x00000000800004ac, INSTR: 0xbc508093, REG x1: 0x0000000080048bc5
PC: 0x00000000800004b0, INSTR: 0x75b0b483, REG x9: 0x0000000000000000, MEM 0x0000000080049320
PC: 0x00000000800004b4, INSTR: 0x0195debb, REG x29: 0x0000000000004001
PC: 0x00000000800004b8, INSTR: 0x10007437, REG x8: 0x0000000010007000
PC: 0x00000000800004bc, INSTR: 0xedd4041b, REG x8: 0x0000000010006edd
PC: 0x00000000800004c0, INSTR: 0x00341413, REG x8: 0x00000000800376e8
PC: 0x00000000800004c4, INSTR: 0x69340f03, REG x30: 0x0000000000000000, MEM 0x0000000080037d7b
PC: 0x00000000800004c8, INSTR: 0x4001b837, REG x16: 0x000000004001b000
PC: 0x00000000800004cc, INSTR: 0x6b58081b, REG x16: 0x000000004001b6b5
