PC: 0x0000000080000000, INSTR: 0x080052b7, REG x5: 0x0000000008005000
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0xffffffd804892000
PC: 0x00000000800000a0, INSTR: 0x30b08093, REG x1: 0xffffffd80489230b
PC: 0x00000000800000a4, INSTR: 0x00c09093, REG x1: 0xfffd80489230b000
PC: 0x00000000800000a8, INSTR: 0x68708093, REG x1: 0xfffd80489230b687
PC: 0x00000000800000ac, INSTR: 0x00d09093, REG x1: 0xb009124616d0e000
PC: 0x00000000800000b0, INSTR: 0xb6208093, REG x1: 0xb009124616d0db62
PC: 0x00000000800000b4, INSTR: 0xff9971b7, REG x3: 0xffffffffff997000
PC: 0x00000000800000b8, INSTR: 0xe8f1819b, REG x3: 0xffffffffff996e8f
PC: 0x00000000800000bc, INSTR: 0x00d19193, REG x3: 0xfffffff32dd1e000
PC: 0x00000000800000c0, INSTR: 0xded18193, REG x3: 0xfffffff32dd1dded
PC: 0x00000000800000c4, INSTR: 0x00d19193, REG x3: 0xfffe65ba3bbda000
PC: 0x00000000800000c8, INSTR: 0x85518193, REG x3: 0xfffe65ba3bbd9855
PC: 0x00000000800000cc, INSTR: 0x00e19193, REG x3: 0x996e8eef66154000
PC: 0x00000000800000d0, INSTR: 0x24718193, REG x3: 0x996e8eef66154247
PC: 0x00000000800000d4, INSTR: 0xff007237, REG x4: 0xffffffffff007000
PC: 0x00000000800000d8, INSTR: 0xc512021b, REG x4: 0xffffffffff006c51
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0xfffffff006c51000
PC: 0x00000000800000e0, INSTR: 0x2d520213, REG x4: 0xfffffff006c512d5
PC: 0x00000000800000e4, INSTR: 0x00f21213, REG x4: 0xfff80362896a8000
PC: 0x00000000800000e8, INSTR: 0xa3f20213, REG x4: 0xfff80362896a7a3f
PC: 0x00000000800000ec, INSTR: 0x00c21213, REG x4: 0x80362896a7a3f000
PC: 0x00000000800000f0, INSTR: 0xa1820213, REG x4: 0x80362896a7a3ea18
PC: 0x00000000800000f4, INSTR: 0xffc2e2b7, REG x5: 0xffffffffffc2e000
PC: 0x00000000800000f8, INSTR: 0xe572829b, REG x5: 0xffffffffffc2de57
PC: 0x00000000800000fc, INSTR: 0x00d29293, REG x5: 0xfffffff85bcae000
PC: 0x0000000080000100, INSTR: 0x56528293, REG x5: 0xfffffff85bcae565
PC: 0x0000000080000104, INSTR: 0x00d29293, REG x5: 0xffff0b795caca000
PC: 0x0000000080000108, INSTR: 0x85728293, REG x5: 0xffff0b795cac9857
PC: 0x000000008000010c, INSTR: 0x00d29293, REG x5: 0xe16f2b95930ae000
PC: 0x0000000080000110, INSTR: 0x4de28293, REG x5: 0xe16f2b95930ae4de
PC: 0x0000000080000114, INSTR: 0x61397337, REG x6: 0x0000000061397000
PC: 0x0000000080000118, INSTR: 0xc453031b, REG x6: 0x0000000061396c45
PC: 0x000000008000011c, INSTR: 0x00e31313, REG x6: 0x0000184e5b114000
PC: 0x0000000080000120, INSTR: 0xbfb30313, REG x6: 0x0000184e5b113bfb
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x0184e5b113bfb000
PC: 0x0000000080000128, INSTR: 0xb7330313, REG x6: 0x0184e5b113bfab73
PC: 0x000000008000012c, INSTR: 0x00531313, REG x6: 0x309cb62277f56e60
PC: 0x0000000080000130, INSTR: 0x1f5f83b7, REG x7: 0x000000001f5f8000
PC: 0x0000000080000134, INSTR: 0xfa73839b, REG x7: 0x000000001f5f7fa7
PC: 0x0000000080000138, INSTR: 0x01039393, REG x7: 0x00001f5f7fa70000
PC: 0x000000008000013c, INSTR: 0xe7538393, REG x7: 0x00001f5f7fa6fe75
PC: 0x0000000080000140, INSTR: 0x01139393, REG x7: 0x3ebeff4dfcea0000
PC: 0x0000000080000144, INSTR: 0x7eb38393, REG x7: 0x3ebeff4dfcea07eb
PC: 0x0000000080000148, INSTR: 0xffcd5437, REG x8: 0xffffffffffcd5000
PC: 0x000000008000014c, INSTR: 0x0cd4041b, REG x8: 0xffffffffffcd50cd
PC: 0x0000000080000150, INSTR: 0x00c41413, REG x8: 0xfffffffcd50cd000
PC: 0x0000000080000154, INSTR: 0x0fb40413, REG x8: 0xfffffffcd50cd0fb
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0xffffcd50cd0fb000
PC: 0x000000008000015c, INSTR: 0x12340413, REG x8: 0xffffcd50cd0fb123
PC: 0x0000000080000160, INSTR: 0x00e41413, REG x8: 0xf3543343ec48c000
PC: 0x0000000080000164, INSTR: 0x00d40413, REG x8: 0xf3543343ec48c00d
PC: 0x0000000080000168, INSTR: 0x00a934b7, REG x9: 0x0000000000a93000
PC: 0x000000008000016c, INSTR: 0x5074849b, REG x9: 0x0000000000a93507
PC: 0x0000000080000170, INSTR: 0x00c49493, REG x9: 0x0000000a93507000
PC: 0x0000000080000174, INSTR: 0x2f348493, REG x9: 0x0000000a935072f3
PC: 0x0000000080000178, INSTR: 0x00e49493, REG x9: 0x0002a4d41cbcc000
PC: 0x000000008000017c, INSTR: 0x2ad48493, REG x9: 0x0002a4d41cbcc2ad
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x2a4d41cbcc2ad000
PC: 0x0000000080000184, INSTR: 0x82f48493, REG x9: 0x2a4d41cbcc2ac82f
PC: 0x0000000080000188, INSTR: 0xfd891537, REG x10: 0xfffffffffd891000
PC: 0x000000008000018c, INSTR: 0xcd15051b, REG x10: 0xfffffffffd890cd1
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0xffffffd890cd1000
PC: 0x0000000080000194, INSTR: 0x24350513, REG x10: 0xffffffd890cd1243
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xfffd890cd1243000
PC: 0x000000008000019c, INSTR: 0xd1d50513, REG x10: 0xfffd890cd1242d1d
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0xb1219a2485a3a000
PC: 0x00000000800001a4, INSTR: 0xf2a50513, REG x10: 0xb1219a2485a39f2a
PC: 0x00000000800001a8, INSTR: 0x01bb65b7, REG x11: 0x0000000001bb6000
PC: 0x00000000800001ac, INSTR: 0x8e95859b, REG x11: 0x0000000001bb58e9
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0x0000001bb58e9000
PC: 0x00000000800001b4, INSTR: 0xf4358593, REG x11: 0x0000001bb58e8f43
PC: 0x00000000800001b8, INSTR: 0x00d59593, REG x11: 0x000376b1d1e86000
PC: 0x00000000800001bc, INSTR: 0x7c958593, REG x11: 0x000376b1d1e867c9
PC: 0x00000000800001c0, INSTR: 0x00c59593, REG x11: 0x376b1d1e867c9000
PC: 0x00000000800001c4, INSTR: 0x0dd58593, REG x11: 0x376b1d1e867c90dd
PC: 0x00000000800001c8, INSTR: 0x0011e637, REG x12: 0x000000000011e000
PC: 0x00000000800001cc, INSTR: 0xdaf6061b, REG x12: 0x000000000011ddaf
PC: 0x00000000800001d0, INSTR: 0x00d61613, REG x12: 0x000000023bb5e000
PC: 0x00000000800001d4, INSTR: 0xde160613, REG x12: 0x000000023bb5dde1
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0x000023bb5dde1000
PC: 0x00000000800001dc, INSTR: 0x2f160613, REG x12: 0x000023bb5dde12f1
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0x023bb5dde12f1000
PC: 0x00000000800001e4, INSTR: 0xcb560613, REG x12: 0x023bb5dde12f0cb5
PC: 0x00000000800001e8, INSTR: 0xff32a6b7, REG x13: 0xffffffffff32a000
PC: 0x00000000800001ec, INSTR: 0x3cd6869b, REG x13: 0xffffffffff32a3cd
PC: 0x00000000800001f0, INSTR: 0x00c69693, REG x13: 0xfffffff32a3cd000
PC: 0x00000000800001f4, INSTR: 0x15768693, REG x13: 0xfffffff32a3cd157
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0xfffe65479a2ae000
PC: 0x00000000800001fc, INSTR: 0x58568693, REG x13: 0xfffe65479a2ae585
PC: 0x0000000080000200, INSTR: 0x00d69693, REG x13: 0xcca8f3455cb0a000
PC: 0x0000000080000204, INSTR: 0x68668693, REG x13: 0xcca8f3455cb0a686
PC: 0x0000000080000208, INSTR: 0x06a06737, REG x14: 0x0000000006a06000
PC: 0x000000008000020c, INSTR: 0x2c77071b, REG x14: 0x0000000006a062c7
PC: 0x0000000080000210, INSTR: 0x00c71713, REG x14: 0x0000006a062c7000
PC: 0x0000000080000214, INSTR: 0x4f570713, REG x14: 0x0000006a062c74f5
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x0006a062c74f5000
PC: 0x000000008000021c, INSTR: 0xfb370713, REG x14: 0x0006a062c74f4fb3
PC: 0x0000000080000220, INSTR: 0x00c71713, REG x14: 0x6a062c74f4fb3000
PC: 0x0000000080000224, INSTR: 0x07270713, REG x14: 0x6a062c74f4fb3072
PC: 0x0000000080000228, INSTR: 0xfdfaa7b7, REG x15: 0xfffffffffdfaa000
PC: 0x000000008000022c, INSTR: 0x9637879b, REG x15: 0xfffffffffdfa9963
PC: 0x0000000080000230, INSTR: 0x00c79793, REG x15: 0xffffffdfa9963000
PC: 0x0000000080000234, INSTR: 0x60978793, REG x15: 0xffffffdfa9963609
PC: 0x0000000080000238, INSTR: 0x00c79793, REG x15: 0xfffdfa9963609000
PC: 0x000000008000023c, INSTR: 0x30f78793, REG x15: 0xfffdfa996360930f
PC: 0x0000000080000240, INSTR: 0x00d79793, REG x15: 0xbf532c6c1261e000
PC: 0x0000000080000244, INSTR: 0xc0878793, REG x15: 0xbf532c6c1261dc08
PC: 0x0000000080000248, INSTR: 0x88bc8837, REG x16: 0xffffffff88bc8000
PC: 0x000000008000024c, INSTR: 0x8718081b, REG x16: 0xffffffff88bc7871
PC: 0x0000000080000250, INSTR: 0x00d81813, REG x16: 0xfffff1178f0e2000
PC: 0x0000000080000254, INSTR: 0x5f180813, REG x16: 0xfffff1178f0e25f1
PC: 0x0000000080000258, INSTR: 0x00f81813, REG x16: 0xf88bc78712f88000
PC: 0x000000008000025c, INSTR: 0x1fe80813, REG x16: 0xf88bc78712f881fe
PC: 0x0000000080000260, INSTR: 0xffcd38b7, REG x17: 0xffffffffffcd3000
PC: 0x0000000080000264, INSTR: 0x4df8889b, REG x17: 0xffffffffffcd34df
PC: 0x0000000080000268, INSTR: 0x00d89893, REG x17: 0xfffffff9a69be000
PC: 0x000000008000026c, INSTR: 0x44388893, REG x17: 0xfffffff9a69be443
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0xffff9a69be443000
PC: 0x0000000080000274, INSTR: 0xddd88893, REG x17: 0xffff9a69be442ddd
PC: 0x0000000080000278, INSTR: 0x00e89893, REG x17: 0xe69a6f910b774000
PC: 0x000000008000027c, INSTR: 0xe9788893, REG x17: 0xe69a6f910b773e97
PC: 0x0000000080000280, INSTR: 0x05edb937, REG x18: 0x0000000005edb000
PC: 0x0000000080000284, INSTR: 0xef19091b, REG x18: 0x0000000005edaef1
PC: 0x0000000080000288, INSTR: 0x00c91913, REG x18: 0x0000005edaef1000
PC: 0x000000008000028c, INSTR: 0x08590913, REG x18: 0x0000005edaef1085
PC: 0x0000000080000290, INSTR: 0x00c91913, REG x18: 0x0005edaef1085000
PC: 0x0000000080000294, INSTR: 0xe1f90913, REG x18: 0x0005edaef1084e1f
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0x5edaef1084e1f000
PC: 0x000000008000029c, INSTR: 0xf0a90913, REG x18: 0x5edaef1084e1ef0a
PC: 0x00000000800002a0, INSTR: 0xffc0f9b7, REG x19: 0xffffffffffc0f000
PC: 0x00000000800002a4, INSTR: 0xe899899b, REG x19: 0xffffffffffc0ee89
PC: 0x00000000800002a8, INSTR: 0x00c99993, REG x19: 0xfffffffc0ee89000
PC: 0x00000000800002ac, INSTR: 0xac798993, REG x19: 0xfffffffc0ee88ac7
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0xffffc0ee88ac7000
PC: 0x00000000800002b4, INSTR: 0xf0d98993, REG x19: 0xffffc0ee88ac6f0d
PC: 0x00000000800002b8, INSTR: 0x00f99993, REG x19: 0xe077445637868000
PC: 0x00000000800002bc, INSTR: 0x9d798993, REG x19: 0xe0774456378679d7
PC: 0x00000000800002c0, INSTR: 0x0126ea37, REG x20: 0x000000000126e000
PC: 0x00000000800002c4, INSTR: 0xcf7a0a1b, REG x20: 0x000000000126dcf7
PC: 0x00000000800002c8, INSTR: 0x00ca1a13, REG x20: 0x000000126dcf7000
PC: 0x00000000800002cc, INSTR: 0x26ba0a13, REG x20: 0x000000126dcf726b
PC: 0x00000000800002d0, INSTR: 0x00ca1a13, REG x20: 0x000126dcf726b000
PC: 0x00000000800002d4, INSTR: 0x937a0a13, REG x20: 0x000126dcf726a937
PC: 0x00000000800002d8, INSTR: 0x00ea1a13, REG x20: 0x49b73dc9aa4dc000
PC: 0x00000000800002dc, INSTR: 0xebfa0a13, REG x20: 0x49b73dc9aa4dbebf
PC: 0x00000000800002e0, INSTR: 0x066f9ab7, REG x21: 0x00000000066f9000
PC: 0x00000000800002e4, INSTR: 0xf03a8a9b, REG x21: 0x00000000066f8f03
PC: 0x00000000800002e8, INSTR: 0x00ca9a93, REG x21: 0x00000066f8f03000
PC: 0x00000000800002ec, INSTR: 0x6aba8a93, REG x21: 0x00000066f8f036ab
PC: 0x00000000800002f0, INSTR: 0x00ca9a93, REG x21: 0x00066f8f036ab000
PC: 0x00000000800002f4, INSTR: 0xeeba8a93, REG x21: 0x00066f8f036aaeeb
PC: 0x00000000800002f8, INSTR: 0x00ca9a93, REG x21: 0x66f8f036aaeeb000
PC: 0x00000000800002fc, INSTR: 0x9c2a8a93, REG x21: 0x66f8f036aaeea9c2
PC: 0x0000000080000300, INSTR: 0x006ebb37, REG x22: 0x00000000006eb000
PC: 0x0000000080000304, INSTR: 0x909b0b1b, REG x22: 0x00000000006ea909
PC: 0x0000000080000308, INSTR: 0x00fb1b13, REG x22: 0x0000003754848000
PC: 0x000000008000030c, INSTR: 0x84bb0b13, REG x22: 0x000000375484784b
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0x000375484784b000
PC: 0x0000000080000314, INSTR: 0x1a7b0b13, REG x22: 0x000375484784b1a7
PC: 0x0000000080000318, INSTR: 0x00db1b13, REG x22: 0x6ea908f09634e000
PC: 0x000000008000031c, INSTR: 0x5a5b0b13, REG x22: 0x6ea908f09634e5a5
PC: 0x0000000080000320, INSTR: 0x067d0bb7, REG x23: 0x00000000067d0000
PC: 0x0000000080000324, INSTR: 0xa09b8b9b, REG x23: 0x00000000067cfa09
PC: 0x0000000080000328, INSTR: 0x00cb9b93, REG x23: 0x00000067cfa09000
PC: 0x000000008000032c, INSTR: 0x74fb8b93, REG x23: 0x00000067cfa0974f
PC: 0x0000000080000330, INSTR: 0x00cb9b93, REG x23: 0x00067cfa0974f000
PC: 0x0000000080000334, INSTR: 0xa2bb8b93, REG x23: 0x00067cfa0974ea2b
PC: 0x0000000080000338, INSTR: 0x00cb9b93, REG x23: 0x67cfa0974ea2b000
PC: 0x000000008000033c, INSTR: 0xb3db8b93, REG x23: 0x67cfa0974ea2ab3d
PC: 0x0000000080000340, INSTR: 0x006acc37, REG x24: 0x00000000006ac000
PC: 0x0000000080000344, INSTR: 0x3d9c0c1b, REG x24: 0x00000000006ac3d9
PC: 0x0000000080000348, INSTR: 0x00fc1c13, REG x24: 0x0000003561ec8000
PC: 0x000000008000034c, INSTR: 0x5a1c0c13, REG x24: 0x0000003561ec85a1
PC: 0x0000000080000350, INSTR: 0x00cc1c13, REG x24: 0x0003561ec85a1000
PC: 0x0000000080000354, INSTR: 0x625c0c13, REG x24: 0x0003561ec85a1625
PC: 0x0000000080000358, INSTR: 0x00dc1c13, REG x24: 0x6ac3d90b42c4a000
PC: 0x000000008000035c, INSTR: 0x990c0c13, REG x24: 0x6ac3d90b42c49990
PC: 0x0000000080000360, INSTR: 0xadf73cb7, REG x25: 0xffffffffadf73000
PC: 0x0000000080000364, INSTR: 0x006c9c93, REG x25: 0xffffffeb7dcc0000
PC: 0x0000000080000368, INSTR: 0xad7c8c93, REG x25: 0xffffffeb7dcbfad7
PC: 0x000000008000036c, INSTR: 0x00ec9c93, REG x25: 0xfffadf72feb5c000
PC: 0x0000000080000370, INSTR: 0x483c8c93, REG x25: 0xfffadf72feb5c483
PC: 0x0000000080000374, INSTR: 0x00cc9c93, REG x25: 0xadf72feb5c483000
PC: 0x0000000080000378, INSTR: 0x818c8c93, REG x25: 0xadf72feb5c482818
PC: 0x000000008000037c, INSTR: 0x01e76d37, REG x26: 0x0000000001e76000
PC: 0x0000000080000380, INSTR: 0x319d0d1b, REG x26: 0x0000000001e76319
PC: 0x0000000080000384, INSTR: 0x00cd1d13, REG x26: 0x0000001e76319000
PC: 0x0000000080000388, INSTR: 0x103d0d13, REG x26: 0x0000001e76319103
PC: 0x000000008000038c, INSTR: 0x00cd1d13, REG x26: 0x0001e76319103000
PC: 0x0000000080000390, INSTR: 0xc01d0d13, REG x26: 0x0001e76319102c01
PC: 0x0000000080000394, INSTR: 0x00cd1d13, REG x26: 0x1e76319102c01000
PC: 0x0000000080000398, INSTR: 0x7bdd0d13, REG x26: 0x1e76319102c017bd
PC: 0x000000008000039c, INSTR: 0x009a8db7, REG x27: 0x00000000009a8000
PC: 0x00000000800003a0, INSTR: 0xd75d8d9b, REG x27: 0x00000000009a7d75
PC: 0x00000000800003a4, INSTR: 0x00dd9d93, REG x27: 0x000000134faea000
PC: 0x00000000800003a8, INSTR: 0x9f9d8d93, REG x27: 0x000000134fae99f9
PC: 0x00000000800003ac, INSTR: 0x00cd9d93, REG x27: 0x000134fae99f9000
PC: 0x00000000800003b0, INSTR: 0xc51d8d93, REG x27: 0x000134fae99f8c51
PC: 0x00000000800003b4, INSTR: 0x00dd9d93, REG x27: 0x269f5d33f18a2000
PC: 0x00000000800003b8, INSTR: 0x987d8d93, REG x27: 0x269f5d33f18a1987
PC: 0x00000000800003bc, INSTR: 0xffcb6e37, REG x28: 0xffffffffffcb6000
PC: 0x00000000800003c0, INSTR: 0x41be0e1b, REG x28: 0xffffffffffcb641b
PC: 0x00000000800003c4, INSTR: 0x00de1e13, REG x28: 0xfffffff96c836000
PC: 0x00000000800003c8, INSTR: 0x62fe0e13, REG x28: 0xfffffff96c83662f
PC: 0x00000000800003cc, INSTR: 0x00ee1e13, REG x28: 0xfffe5b20d98bc000
PC: 0x00000000800003d0, INSTR: 0x0efe0e13, REG x28: 0xfffe5b20d98bc0ef
PC: 0x00000000800003d4, INSTR: 0x00ce1e13, REG x28: 0xe5b20d98bc0ef000
PC: 0x00000000800003d8, INSTR: 0xc1de0e13, REG x28: 0xe5b20d98bc0eec1d
PC: 0x00000000800003dc, INSTR: 0xff83feb7, REG x29: 0xffffffffff83f000
PC: 0x00000000800003e0, INSTR: 0xd35e8e9b, REG x29: 0xffffffffff83ed35
PC: 0x00000000800003e4, INSTR: 0x00de9e93, REG x29: 0xfffffff07da6a000
PC: 0x00000000800003e8, INSTR: 0x5c9e8e93, REG x29: 0xfffffff07da6a5c9
PC: 0x00000000800003ec, INSTR: 0x00ee9e93, REG x29: 0xfffc1f69a9724000
PC: 0x00000000800003f0, INSTR: 0xfd9e8e93, REG x29: 0xfffc1f69a9723fd9
PC: 0x00000000800003f4, INSTR: 0x00de9e93, REG x29: 0x83ed352e47fb2000
PC: 0x00000000800003f8, INSTR: 0xb56e8e93, REG x29: 0x83ed352e47fb1b56
PC: 0x00000000800003fc, INSTR: 0xfa0d8f37, REG x30: 0xfffffffffa0d8000
PC: 0x0000000080000400, INSTR: 0x611f0f1b, REG x30: 0xfffffffffa0d8611
PC: 0x0000000080000404, INSTR: 0x00cf1f13, REG x30: 0xffffffa0d8611000
PC: 0x0000000080000408, INSTR: 0x7d7f0f13, REG x30: 0xffffffa0d86117d7
PC: 0x000000008000040c, INSTR: 0x00cf1f13, REG x30: 0xfffa0d86117d7000
PC: 0x0000000080000410, INSTR: 0x9ddf0f13, REG x30: 0xfffa0d86117d69dd
PC: 0x0000000080000414, INSTR: 0x00cf1f13, REG x30: 0xa0d86117d69dd000
PC: 0x0000000080000418, INSTR: 0x882f0f13, REG x30: 0xa0d86117d69dc882
PC: 0x000000008000041c, INSTR: 0xff05afb7, REG x31: 0xffffffffff05a000
PC: 0x0000000080000420, INSTR: 0x7d1f8f9b, REG x31: 0xffffffffff05a7d1
PC: 0x0000000080000424, INSTR: 0x00df9f93, REG x31: 0xffffffe0b4fa2000
PC: 0x0000000080000428, INSTR: 0xd47f8f93, REG x31: 0xffffffe0b4fa1d47
PC: 0x000000008000042c, INSTR: 0x00df9f93, REG x31: 0xfffc169f43a8e000
PC: 0x0000000080000430, INSTR: 0x587f8f93, REG x31: 0xfffc169f43a8e587
PC: 0x0000000080000434, INSTR: 0x00cf9f93, REG x31: 0xc169f43a8e587000
PC: 0x0000000080000438, INSTR: 0xb88f8f93, REG x31: 0xc169f43a8e586b88
PC: 0x000000008000043c, INSTR: 0x0160fbb3, REG x23: 0x200900401610c120
PC: 0x0000000080000440, INSTR: 0x012779b3, REG x19: 0x4a022c1084e12002
PC: 0x0000000080000444, INSTR: 0x012bfcb3, REG x25: 0x000800000400c100
PC: 0x0000000080000448, INSTR: 0x5d5ef013
PC: 0x000000008000044c, INSTR: 0x6ea5f317, REG x6: 0x00000000eea5f44c
PC: 0x0000000080000450, INSTR: 0x40a6ddb3, REG x27: 0xfffffffffff32a3c
PC: 0x0000000080000454, INSTR: 0x412751bb, REG x3: 0xfffffffffffd3ecc
PC: 0x0000000080000458, INSTR: 0x00c09c3b, REG x24: 0x000000006c400000
PC: 0x000000008000045c, INSTR: 0x003bd4bb, REG x9: 0x000000000001610c
PC: 0x0000000080000460, INSTR: 0x000bf5b3, REG x11: 0x0000000000000000
PC: 0x0000000080000464, INSTR: 0x00adf9b3, REG x19: 0xb1219a2485a30a28
PC: 0x0000000080000468, INSTR: 0x01e54463
PC: 0x000000008000046c, INSTR: 0x0040006f
PC: 0x0000000080000470, INSTR: 0x01237433, REG x8: 0x0000000084a1e408
PC: 0x0000000080000474, INSTR: 0xb25d3013
PC: 0x0000000080000478, INSTR: 0x00fbf833, REG x16: 0x200100401200c000
PC: 0x000000008000047c, INSTR: 0x00dbf5b3, REG x11: 0x0008004014108000
PC: 0x0000000080000480, INSTR: 0x016f70b3, REG x1: 0x208800109614c080
PC: 0x0000000080000484, INSTR: 0xcd0bebb7, REG x23: 0xffffffffcd0be000
PC: 0x0000000080000488, INSTR: 0x00e6fdb3, REG x27: 0x4800204454b02002
PC: 0x000000008000048c, INSTR: 0x00777833, REG x16: 0x2a062c44f4ea0062
PC: 0x0000000080000490, INSTR: 0x01577333, REG x6: 0x62002034a0ea2042
PC: 0x0000000080000494, INSTR: 0x01e2f2b3, REG x5: 0xa04821159208c082
PC: 0x0000000080000498, INSTR: 0x0115fb33, REG x22: 0x0008000000100000
PC: 0x000000008000049c, INSTR: 0x404b8533, REG x10: 0x7fc9d7692567f5e8
PC: 0x00000000800004a0, INSTR: 0x01c876b3, REG x13: 0x20020c00b40a0000
PC: 0x00000000800004a4, INSTR: 0x000af333, REG x6: 0x0000000000000000
PC: 0x00000000800004a8, INSTR: 0x0072f1b3, REG x3: 0x2008210590080082
PC: 0x00000000800004ac, INSTR: 0x00d4f8b3, REG x17: 0x0000000000000000
PC: 0x00000000800004b0, INSTR: 0x40017e37, REG x28: 0x0000000040017000
PC: 0x00000000800004b4, INSTR: 0x001e1e13, REG x28: 0x000000008002e000
PC: 0x00000000800004b8, INSTR: 0xbf2e0e13, REG x28: 0x000000008002dbf2
PC: 0x00000000800004bc, INSTR: 0x86ee3e03, REG x28: 0x0000000000000000, MEM 0x000000008002d460
PC: 0x00000000800004c0, INSTR: 0x01647733, REG x14: 0x0000000000000000
PC: 0x00000000800004c4, INSTR: 0x60ae7293, REG x5: 0x0000000000000000
PC: 0x00000000800004c8, INSTR: 0x200135b7, REG x11: 0x0000000020013000
PC: 0x00000000800004cc, INSTR: 0x00259593, REG x11: 0x000000008004c000
PC: 0x00000000800004d0, INSTR: 0xe6358593, REG x11: 0x000000008004be63
