PC: 0x0000000080000000, INSTR: 0x080055b7, REG x11: 0x0000000008005000
PC: 0x000000008000009c, INSTR: 0x00c09093, REG x1: 0x0000000b7bb39000
PC: 0x00000000800000a0, INSTR: 0xe8d08093, REG x1: 0x0000000b7bb38e8d
PC: 0x00000000800000a4, INSTR: 0x00d09093, REG x1: 0x00016f7671d1a000
PC: 0x00000000800000a8, INSTR: 0x37908093, REG x1: 0x00016f7671d1a379
PC: 0x00000000800000ac, INSTR: 0x00d09093, REG x1: 0x2deece3a346f2000
PC: 0x00000000800000b0, INSTR: 0x1a108093, REG x1: 0x2deece3a346f21a1
PC: 0x00000000800000b4, INSTR: 0x77f2f1b7, REG x3: 0x0000000077f2f000
PC: 0x00000000800000b8, INSTR: 0x7e51819b, REG x3: 0x0000000077f2f7e5
PC: 0x00000000800000bc, INSTR: 0x00f19193, REG x3: 0x00003bf97bf28000
PC: 0x00000000800000c0, INSTR: 0xb9d18193, REG x3: 0x00003bf97bf27b9d
PC: 0x00000000800000c4, INSTR: 0x00d19193, REG x3: 0x077f2f7e4f73a000
PC: 0x00000000800000c8, INSTR: 0x88718193, REG x3: 0x077f2f7e4f739887
PC: 0x00000000800000cc, INSTR: 0x00319193, REG x3: 0x3bf97bf27b9cc438
PC: 0x00000000800000d0, INSTR: 0xc070d237, REG x4: 0xffffffffc070d000
PC: 0x00000000800000d4, INSTR: 0x2172021b, REG x4: 0xffffffffc070d217
PC: 0x00000000800000d8, INSTR: 0x00e21213, REG x4: 0xfffff01c3485c000
PC: 0x00000000800000dc, INSTR: 0xfdf20213, REG x4: 0xfffff01c3485bfdf
PC: 0x00000000800000e0, INSTR: 0x01221213, REG x4: 0xc070d216ff7c0000
PC: 0x00000000800000e4, INSTR: 0xb7e20213, REG x4: 0xc070d216ff7bfb7e
PC: 0x00000000800000e8, INSTR: 0xffb3c2b7, REG x5: 0xffffffffffb3c000
PC: 0x00000000800000ec, INSTR: 0xd152829b, REG x5: 0xffffffffffb3bd15
PC: 0x00000000800000f0, INSTR: 0x00d29293, REG x5: 0xfffffff677a2a000
PC: 0x00000000800000f4, INSTR: 0x8cf28293, REG x5: 0xfffffff677a298cf
PC: 0x00000000800000f8, INSTR: 0x00f29293, REG x5: 0xfffb3bd14c678000
PC: 0x00000000800000fc, INSTR: 0x0b128293, REG x5: 0xfffb3bd14c6780b1
PC: 0x0000000080000100, INSTR: 0x00c29293, REG x5: 0xb3bd14c6780b1000
PC: 0x0000000080000104, INSTR: 0x83d28293, REG x5: 0xb3bd14c6780b083d
PC: 0x0000000080000108, INSTR: 0xfc218337, REG x6: 0xfffffffffc218000
PC: 0x000000008000010c, INSTR: 0xb9d3031b, REG x6: 0xfffffffffc217b9d
PC: 0x0000000080000110, INSTR: 0x00d31313, REG x6: 0xffffff842f73a000
PC: 0x0000000080000114, INSTR: 0x6df30313, REG x6: 0xffffff842f73a6df
PC: 0x0000000080000118, INSTR: 0x00c31313, REG x6: 0xfff842f73a6df000
PC: 0x000000008000011c, INSTR: 0x37130313, REG x6: 0xfff842f73a6df371
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x842f73a6df371000
PC: 0x0000000080000124, INSTR: 0x9f130313, REG x6: 0x842f73a6df3709f1
PC: 0x0000000080000128, INSTR: 0xfa8813b7, REG x7: 0xfffffffffa881000
PC: 0x000000008000012c, INSTR: 0x3213839b, REG x7: 0xfffffffffa881321
PC: 0x0000000080000130, INSTR: 0x00c39393, REG x7: 0xffffffa881321000
PC: 0x0000000080000134, INSTR: 0xcd538393, REG x7: 0xffffffa881320cd5
PC: 0x0000000080000138, INSTR: 0x00c39393, REG x7: 0xfffa881320cd5000
PC: 0x000000008000013c, INSTR: 0x34f38393, REG x7: 0xfffa881320cd534f
PC: 0x0000000080000140, INSTR: 0x00c39393, REG x7: 0xa881320cd534f000
PC: 0x0000000080000144, INSTR: 0x71638393, REG x7: 0xa881320cd534f716
PC: 0x0000000080000148, INSTR: 0x6877a437, REG x8: 0x000000006877a000
PC: 0x000000008000014c, INSTR: 0xe714041b, REG x8: 0x0000000068779e71
PC: 0x0000000080000150, INSTR: 0x00e41413, REG x8: 0x00001a1de79c4000
PC: 0x0000000080000154, INSTR: 0x00940413, REG x8: 0x00001a1de79c4009
PC: 0x0000000080000158, INSTR: 0x01141413, REG x8: 0x343bcf3880120000
PC: 0x000000008000015c, INSTR: 0x8b640413, REG x8: 0x343bcf388011f8b6
PC: 0x0000000080000160, INSTR: 0xfefa44b7, REG x9: 0xfffffffffefa4000
PC: 0x0000000080000164, INSTR: 0xdbd4849b, REG x9: 0xfffffffffefa3dbd
PC: 0x0000000080000168, INSTR: 0x00d49493, REG x9: 0xffffffdf47b7a000
PC: 0x000000008000016c, INSTR: 0xd7d48493, REG x9: 0xffffffdf47b79d7d
PC: 0x0000000080000170, INSTR: 0x00d49493, REG x9: 0xfffbe8f6f3afa000
PC: 0x0000000080000174, INSTR: 0xd8548493, REG x9: 0xfffbe8f6f3af9d85
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xbe8f6f3af9d85000
PC: 0x000000008000017c, INSTR: 0x72848493, REG x9: 0xbe8f6f3af9d85728
PC: 0x0000000080000180, INSTR: 0xff573537, REG x10: 0xffffffffff573000
PC: 0x0000000080000184, INSTR: 0xb735051b, REG x10: 0xffffffffff572b73
PC: 0x0000000080000188, INSTR: 0x00c51513, REG x10: 0xfffffff572b73000
PC: 0x000000008000018c, INSTR: 0x4ed50513, REG x10: 0xfffffff572b734ed
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0xffff572b734ed000
PC: 0x0000000080000194, INSTR: 0xa9b50513, REG x10: 0xffff572b734eca9b
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xf572b734eca9b000
PC: 0x000000008000019c, INSTR: 0xe7b50513, REG x10: 0xf572b734eca9ae7b
PC: 0x00000000800001a0, INSTR: 0x034445b7, REG x11: 0x0000000003444000
PC: 0x00000000800001a4, INSTR: 0x0df5859b, REG x11: 0x00000000034440df
PC: 0x00000000800001a8, INSTR: 0x00c59593, REG x11: 0x00000034440df000
PC: 0x00000000800001ac, INSTR: 0x73f58593, REG x11: 0x00000034440df73f
PC: 0x00000000800001b0, INSTR: 0x00d59593, REG x11: 0x00068881bee7e000
PC: 0x00000000800001b4, INSTR: 0xa4d58593, REG x11: 0x00068881bee7da4d
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0x68881bee7da4d000
PC: 0x00000000800001bc, INSTR: 0x46558593, REG x11: 0x68881bee7da4d465
PC: 0x00000000800001c0, INSTR: 0xfe3fd637, REG x12: 0xfffffffffe3fd000
PC: 0x00000000800001c4, INSTR: 0x2616061b, REG x12: 0xfffffffffe3fd261
PC: 0x00000000800001c8, INSTR: 0x00c61613, REG x12: 0xffffffe3fd261000
PC: 0x00000000800001cc, INSTR: 0xc1160613, REG x12: 0xffffffe3fd260c11
PC: 0x00000000800001d0, INSTR: 0x00e61613, REG x12: 0xfff8ff4983044000
PC: 0x00000000800001d4, INSTR: 0x3f160613, REG x12: 0xfff8ff49830443f1
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0x8ff49830443f1000
PC: 0x00000000800001dc, INSTR: 0x8e760613, REG x12: 0x8ff49830443f08e7
PC: 0x00000000800001e0, INSTR: 0xfff6d6b7, REG x13: 0xfffffffffff6d000
PC: 0x00000000800001e4, INSTR: 0x65d6869b, REG x13: 0xfffffffffff6d65d
PC: 0x00000000800001e8, INSTR: 0x00d69693, REG x13: 0xfffffffedacba000
PC: 0x00000000800001ec, INSTR: 0x03768693, REG x13: 0xfffffffedacba037
PC: 0x00000000800001f0, INSTR: 0x00d69693, REG x13: 0xffffdb597406e000
PC: 0x00000000800001f4, INSTR: 0x76968693, REG x13: 0xffffdb597406e769
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0xfb6b2e80dced2000
PC: 0x00000000800001fc, INSTR: 0x56d68693, REG x13: 0xfb6b2e80dced256d
PC: 0x0000000080000200, INSTR: 0x07637737, REG x14: 0x0000000007637000
PC: 0x0000000080000204, INSTR: 0x95b7071b, REG x14: 0x000000000763695b
PC: 0x0000000080000208, INSTR: 0x00c71713, REG x14: 0x000000763695b000
PC: 0x000000008000020c, INSTR: 0x44370713, REG x14: 0x000000763695b443
PC: 0x0000000080000210, INSTR: 0x00c71713, REG x14: 0x000763695b443000
PC: 0x0000000080000214, INSTR: 0x64170713, REG x14: 0x000763695b443641
PC: 0x0000000080000218, INSTR: 0x00c71713, REG x14: 0x763695b443641000
PC: 0x000000008000021c, INSTR: 0x9cd70713, REG x14: 0x763695b4436409cd
PC: 0x0000000080000220, INSTR: 0x14fbf7b7, REG x15: 0x0000000014fbf000
PC: 0x0000000080000224, INSTR: 0x2cf7879b, REG x15: 0x0000000014fbf2cf
PC: 0x0000000080000228, INSTR: 0x00f79793, REG x15: 0x00000a7df9678000
PC: 0x000000008000022c, INSTR: 0x74d78793, REG x15: 0x00000a7df967874d
PC: 0x0000000080000230, INSTR: 0x01279793, REG x15: 0x29f7e59e1d340000
PC: 0x0000000080000234, INSTR: 0x80078793, REG x15: 0x29f7e59e1d33f800
PC: 0x0000000080000238, INSTR: 0xb7178793, REG x15: 0x29f7e59e1d33f371
PC: 0x000000008000023c, INSTR: 0xfe637837, REG x16: 0xfffffffffe637000
PC: 0x0000000080000240, INSTR: 0xf5b8081b, REG x16: 0xfffffffffe636f5b
PC: 0x0000000080000244, INSTR: 0x00c81813, REG x16: 0xffffffe636f5b000
PC: 0x0000000080000248, INSTR: 0xe6380813, REG x16: 0xffffffe636f5ae63
PC: 0x000000008000024c, INSTR: 0x00c81813, REG x16: 0xfffe636f5ae63000
PC: 0x0000000080000250, INSTR: 0x5d180813, REG x16: 0xfffe636f5ae635d1
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0xe636f5ae635d1000
PC: 0x0000000080000258, INSTR: 0x91f80813, REG x16: 0xe636f5ae635d091f
PC: 0x000000008000025c, INSTR: 0xfe74e8b7, REG x17: 0xfffffffffe74e000
PC: 0x0000000080000260, INSTR: 0xc818889b, REG x17: 0xfffffffffe74dc81
PC: 0x0000000080000264, INSTR: 0x00c89893, REG x17: 0xffffffe74dc81000
PC: 0x0000000080000268, INSTR: 0xf2d88893, REG x17: 0xffffffe74dc80f2d
PC: 0x000000008000026c, INSTR: 0x00c89893, REG x17: 0xfffe74dc80f2d000
PC: 0x0000000080000270, INSTR: 0x38b88893, REG x17: 0xfffe74dc80f2d38b
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0xce9b901e5a716000
PC: 0x0000000080000278, INSTR: 0x02e88893, REG x17: 0xce9b901e5a71602e
PC: 0x000000008000027c, INSTR: 0x0257f937, REG x18: 0x000000000257f000
PC: 0x0000000080000280, INSTR: 0x4679091b, REG x18: 0x000000000257f467
PC: 0x0000000080000284, INSTR: 0x00c91913, REG x18: 0x000000257f467000
PC: 0x0000000080000288, INSTR: 0x52f90913, REG x18: 0x000000257f46752f
PC: 0x000000008000028c, INSTR: 0x00c91913, REG x18: 0x000257f46752f000
PC: 0x0000000080000290, INSTR: 0x77990913, REG x18: 0x000257f46752f779
PC: 0x0000000080000294, INSTR: 0x00d91913, REG x18: 0x4afe8cea5eef2000
PC: 0x0000000080000298, INSTR: 0x37990913, REG x18: 0x4afe8cea5eef2379
PC: 0x000000008000029c, INSTR: 0x005869b7, REG x19: 0x0000000000586000
PC: 0x00000000800002a0, INSTR: 0x61f9899b, REG x19: 0x000000000058661f
PC: 0x00000000800002a4, INSTR: 0x00e99993, REG x19: 0x000000161987c000
PC: 0x00000000800002a8, INSTR: 0x2ed98993, REG x19: 0x000000161987c2ed
PC: 0x00000000800002ac, INSTR: 0x00c99993, REG x19: 0x000161987c2ed000
PC: 0x00000000800002b0, INSTR: 0x42398993, REG x19: 0x000161987c2ed423
PC: 0x00000000800002b4, INSTR: 0x00e99993, REG x19: 0x58661f0bb508c000
PC: 0x00000000800002b8, INSTR: 0x90898993, REG x19: 0x58661f0bb508b908
PC: 0x00000000800002bc, INSTR: 0xffa1aa37, REG x20: 0xffffffffffa1a000
PC: 0x00000000800002c0, INSTR: 0x2bda0a1b, REG x20: 0xffffffffffa1a2bd
PC: 0x00000000800002c4, INSTR: 0x00da1a13, REG x20: 0xfffffff43457a000
PC: 0x00000000800002c8, INSTR: 0x20da0a13, REG x20: 0xfffffff43457a20d
PC: 0x00000000800002cc, INSTR: 0x00ea1a13, REG x20: 0xfffd0d15e8834000
PC: 0x00000000800002d0, INSTR: 0x4dfa0a13, REG x20: 0xfffd0d15e88344df
PC: 0x00000000800002d4, INSTR: 0x00ca1a13, REG x20: 0xd0d15e88344df000
PC: 0x00000000800002d8, INSTR: 0xc01a0a13, REG x20: 0xd0d15e88344dec01
PC: 0x00000000800002dc, INSTR: 0x000c1ab7, REG x21: 0x00000000000c1000
PC: 0x00000000800002e0, INSTR: 0xf49a8a9b, REG x21: 0x00000000000c0f49
PC: 0x00000000800002e4, INSTR: 0x00fa9a93, REG x21: 0x0000000607a48000
PC: 0x00000000800002e8, INSTR: 0x0e3a8a93, REG x21: 0x0000000607a480e3
PC: 0x00000000800002ec, INSTR: 0x00ea9a93, REG x21: 0x000181e92038c000
PC: 0x00000000800002f0, INSTR: 0x4a7a8a93, REG x21: 0x000181e92038c4a7
PC: 0x00000000800002f4, INSTR: 0x00da9a93, REG x21: 0x303d24071894e000
PC: 0x00000000800002f8, INSTR: 0x344a8a93, REG x21: 0x303d24071894e344
PC: 0x00000000800002fc, INSTR: 0xff937b37, REG x22: 0xffffffffff937000
PC: 0x0000000080000300, INSTR: 0x91bb0b1b, REG x22: 0xffffffffff93691b
PC: 0x0000000080000304, INSTR: 0x00cb1b13, REG x22: 0xfffffff93691b000
PC: 0x0000000080000308, INSTR: 0x2c9b0b13, REG x22: 0xfffffff93691b2c9
PC: 0x000000008000030c, INSTR: 0x00db1b13, REG x22: 0xffff26d236592000
PC: 0x0000000080000310, INSTR: 0xf37b0b13, REG x22: 0xffff26d236591f37
PC: 0x0000000080000314, INSTR: 0x00fb1b13, REG x22: 0x93691b2c8f9b8000
PC: 0x0000000080000318, INSTR: 0xe8eb0b13, REG x22: 0x93691b2c8f9b7e8e
PC: 0x000000008000031c, INSTR: 0xfd14ebb7, REG x23: 0xfffffffffd14e000
PC: 0x0000000080000320, INSTR: 0xccfb8b9b, REG x23: 0xfffffffffd14dccf
PC: 0x0000000080000324, INSTR: 0x00db9b93, REG x23: 0xffffffa29b99e000
PC: 0x0000000080000328, INSTR: 0x793b8b93, REG x23: 0xffffffa29b99e793
PC: 0x000000008000032c, INSTR: 0x00cb9b93, REG x23: 0xfffa29b99e793000
PC: 0x0000000080000330, INSTR: 0x3edb8b93, REG x23: 0xfffa29b99e7933ed
PC: 0x0000000080000334, INSTR: 0x00cb9b93, REG x23: 0xa29b99e7933ed000
PC: 0x0000000080000338, INSTR: 0x735b8b93, REG x23: 0xa29b99e7933ed735
PC: 0x000000008000033c, INSTR: 0x00636c37, REG x24: 0x0000000000636000
PC: 0x0000000080000340, INSTR: 0x8ffc0c1b, REG x24: 0x00000000006358ff
PC: 0x0000000080000344, INSTR: 0x00cc1c13, REG x24: 0x00000006358ff000
PC: 0x0000000080000348, INSTR: 0x91dc0c13, REG x24: 0x00000006358fe91d
PC: 0x000000008000034c, INSTR: 0x00cc1c13, REG x24: 0x00006358fe91d000
PC: 0x0000000080000350, INSTR: 0xb0bc0c13, REG x24: 0x00006358fe91cb0b
PC: 0x0000000080000354, INSTR: 0x010c1c13, REG x24: 0x6358fe91cb0b0000
PC: 0x0000000080000358, INSTR: 0xd60c0c13, REG x24: 0x6358fe91cb0afd60
PC: 0x000000008000035c, INSTR: 0x00c50cb7, REG x25: 0x0000000000c50000
PC: 0x0000000080000360, INSTR: 0xb45c8c9b, REG x25: 0x0000000000c4fb45
PC: 0x0000000080000364, INSTR: 0x00ec9c93, REG x25: 0x000000313ed14000
PC: 0x0000000080000368, INSTR: 0xd65c8c93, REG x25: 0x000000313ed13d65
PC: 0x000000008000036c, INSTR: 0x00cc9c93, REG x25: 0x000313ed13d65000
PC: 0x0000000080000370, INSTR: 0xdbbc8c93, REG x25: 0x000313ed13d64dbb
PC: 0x0000000080000374, INSTR: 0x00dc9c93, REG x25: 0x627da27ac9b76000
PC: 0x0000000080000378, INSTR: 0x44dc8c93, REG x25: 0x627da27ac9b7644d
PC: 0x000000008000037c, INSTR: 0xffe8dd37, REG x26: 0xffffffffffe8d000
PC: 0x0000000080000380, INSTR: 0xf19d0d1b, REG x26: 0xffffffffffe8cf19
PC: 0x0000000080000384, INSTR: 0x00cd1d13, REG x26: 0xfffffffe8cf19000
PC: 0x0000000080000388, INSTR: 0xca1d0d13, REG x26: 0xfffffffe8cf18ca1
PC: 0x000000008000038c, INSTR: 0x00dd1d13, REG x26: 0xffffd19e31942000
PC: 0x0000000080000390, INSTR: 0xa25d0d13, REG x26: 0xffffd19e31941a25
PC: 0x0000000080000394, INSTR: 0x00fd1d13, REG x26: 0xe8cf18ca0d128000
PC: 0x0000000080000398, INSTR: 0x245d0d13, REG x26: 0xe8cf18ca0d128245
PC: 0x000000008000039c, INSTR: 0xf98dadb7, REG x27: 0xfffffffff98da000
PC: 0x00000000800003a0, INSTR: 0x49bd8d9b, REG x27: 0xfffffffff98da49b
PC: 0x00000000800003a4, INSTR: 0x00cd9d93, REG x27: 0xffffff98da49b000
PC: 0x00000000800003a8, INSTR: 0x125d8d93, REG x27: 0xffffff98da49b125
PC: 0x00000000800003ac, INSTR: 0x00cd9d93, REG x27: 0xfff98da49b125000
PC: 0x00000000800003b0, INSTR: 0x5cdd8d93, REG x27: 0xfff98da49b1255cd
PC: 0x00000000800003b4, INSTR: 0x00cd9d93, REG x27: 0x98da49b1255cd000
PC: 0x00000000800003b8, INSTR: 0x88ad8d93, REG x27: 0x98da49b1255cc88a
PC: 0x00000000800003bc, INSTR: 0x05f57e37, REG x28: 0x0000000005f57000
PC: 0x00000000800003c0, INSTR: 0xc21e0e1b, REG x28: 0x0000000005f56c21
PC: 0x00000000800003c4, INSTR: 0x00ce1e13, REG x28: 0x0000005f56c21000
PC: 0x00000000800003c8, INSTR: 0xc49e0e13, REG x28: 0x0000005f56c20c49
PC: 0x00000000800003cc, INSTR: 0x00ce1e13, REG x28: 0x0005f56c20c49000
PC: 0x00000000800003d0, INSTR: 0xfffe0e13, REG x28: 0x0005f56c20c48fff
PC: 0x00000000800003d4, INSTR: 0x00ce1e13, REG x28: 0x5f56c20c48fff000
PC: 0x00000000800003d8, INSTR: 0x9d2e0e13, REG x28: 0x5f56c20c48ffe9d2
PC: 0x00000000800003dc, INSTR: 0xffe0aeb7, REG x29: 0xffffffffffe0a000
PC: 0x00000000800003e0, INSTR: 0x8e7e8e9b, REG x29: 0xffffffffffe098e7
PC: 0x00000000800003e4, INSTR: 0x00ce9e93, REG x29: 0xfffffffe098e7000
PC: 0x00000000800003e8, INSTR: 0x321e8e93, REG x29: 0xfffffffe098e7321
PC: 0x00000000800003ec, INSTR: 0x00ce9e93, REG x29: 0xffffe098e7321000
PC: 0x00000000800003f0, INSTR: 0x26fe8e93, REG x29: 0xffffe098e732126f
PC: 0x00000000800003f4, INSTR: 0x010e9e93, REG x29: 0xe098e732126f0000
PC: 0x00000000800003f8, INSTR: 0x330e8e93, REG x29: 0xe098e732126f0330
PC: 0x00000000800003fc, INSTR: 0xfa244f37, REG x30: 0xfffffffffa244000
PC: 0x0000000080000400, INSTR: 0x571f0f1b, REG x30: 0xfffffffffa244571
PC: 0x0000000080000404, INSTR: 0x00cf1f13, REG x30: 0xffffffa244571000
PC: 0x0000000080000408, INSTR: 0xb81f0f13, REG x30: 0xffffffa244570b81
PC: 0x000000008000040c, INSTR: 0x00cf1f13, REG x30: 0xfffa244570b81000
PC: 0x0000000080000410, INSTR: 0xec9f0f13, REG x30: 0xfffa244570b80ec9
PC: 0x0000000080000414, INSTR: 0x00cf1f13, REG x30: 0xa244570b80ec9000
PC: 0x0000000080000418, INSTR: 0x0bff0f13, REG x30: 0xa244570b80ec90bf
PC: 0x000000008000041c, INSTR: 0xfb443fb7, REG x31: 0xfffffffffb443000
PC: 0x0000000080000420, INSTR: 0x05df8f9b, REG x31: 0xfffffffffb44305d
PC: 0x0000000080000424, INSTR: 0x00cf9f93, REG x31: 0xffffffb44305d000
PC: 0x0000000080000428, INSTR: 0x03bf8f93, REG x31: 0xffffffb44305d03b
PC: 0x000000008000042c, INSTR: 0x00cf9f93, REG x31: 0xfffb44305d03b000
PC: 0x0000000080000430, INSTR: 0xe3ff8f93, REG x31: 0xfffb44305d03ae3f
PC: 0x0000000080000434, INSTR: 0x00cf9f93, REG x31: 0xb44305d03ae3f000
PC: 0x0000000080000438, INSTR: 0x9b9f8f93, REG x31: 0xb44305d03ae3e9b9
PC: 0x000000008000043c, INSTR: 0x00080f37, REG x30: 0x0000000000080000
PC: 0x0000000080000440, INSTR: 0x047f0f1b, REG x30: 0x0000000000080047
PC: 0x0000000080000444, INSTR: 0x00cf1f13, REG x30: 0x0000000080047000
PC: 0x0000000080000448, INSTR: 0x3b3f0f13, REG x30: 0x00000000800473b3
PC: 0x000000008000044c, INSTR: 0xfd5f2703, REG x14: 0x0000000000000000, MEM 0x0000000080047388
PC: 0x0000000080000450, INSTR: 0x000806b7, REG x13: 0x0000000000080000
PC: 0x0000000080000454, INSTR: 0x04b6869b, REG x13: 0x000000000008004b
PC: 0x0000000080000458, INSTR: 0x00c69693, REG x13: 0x000000008004b000
PC: 0x000000008000045c, INSTR: 0xc7168693, REG x13: 0x000000008004ac71
PC: 0x0000000080000460, INSTR: 0xeb96d083, REG x1: 0x0000000000000000, MEM 0x000000008004ab2a
PC: 0x0000000080000464, INSTR: 0x00000d93, REG x27: 0x0000000000000000
PC: 0x0000000080000468, INSTR: 0x00400c93, REG x25: 0x0000000000000004
PC: 0x000000008000046c, INSTR: 0x0040006f
PC: 0x0000000080000470, INSTR: 0x01bf08b3, REG x17: 0x00000000800473b3
PC: 0x0000000080000474, INSTR: 0x408d043b, REG x8: 0xffffffff8d00898f
PC: 0x0000000080000478, INSTR: 0x001d8d93, REG x27: 0x0000000000000001
PC: 0x000000008000047c, INSTR: 0xff9deae3
PC: 0x0000000080000470, INSTR: 0x01bf08b3, REG x17: 0x00000000800473b4
PC: 0x0000000080000474, INSTR: 0x408d043b, REG x8: 0xffffffff8011f8b6
PC: 0x0000000080000478, INSTR: 0x001d8d93, REG x27: 0x0000000000000002
PC: 0x000000008000047c, INSTR: 0xff9deae3
PC: 0x0000000080000470, INSTR: 0x01bf08b3, REG x17: 0x00000000800473b5
PC: 0x0000000080000474, INSTR: 0x408d043b, REG x8: 0xffffffff8d00898f
PC: 0x0000000080000478, INSTR: 0x001d8d93, REG x27: 0x0000000000000003
PC: 0x000000008000047c, INSTR: 0xff9deae3
PC: 0x0000000080000470, INSTR: 0x01bf08b3, REG x17: 0x00000000800473b6
PC: 0x0000000080000474, INSTR: 0x408d043b, REG x8: 0xffffffff8011f8b6
PC: 0x0000000080000478, INSTR: 0x001d8d93, REG x27: 0x0000000000000004
PC: 0x000000008000047c, INSTR: 0xff9deae3
PC: 0x0000000080000480, INSTR: 0x0040006f
PC: 0x0000000080000484, INSTR: 0x00000213, REG x4: 0x0000000000000000
PC: 0x0000000080000488, INSTR: 0x00400713, REG x14: 0x0000000000000004
PC: 0x000000008000048c, INSTR: 0x0040006f
PC: 0x0000000080000490, INSTR: 0x40021cb7, REG x25: 0x0000000040021000
PC: 0x0000000080000494, INSTR: 0x001c9c93, REG x25: 0x0000000080042000
PC: 0x0000000080000498, INSTR: 0xbf3c8c93, REG x25: 0x0000000080041bf3
PC: 0x000000008000049c, INSTR: 0x7e5ce603, REG x12: 0x0000000000000000, MEM 0x00000000800423d8
PC: 0x00000000800004a0, INSTR: 0x406c59bb, REG x19: 0xffffffffffffe585
PC: 0x00000000800004a4, INSTR: 0x00120213, REG x4: 0x0000000000000001
PC: 0x00000000800004a8, INSTR: 0xfee264e3
PC: 0x0000000080000490, INSTR: 0x40021cb7, REG x25: 0x0000000040021000
