PC: 0x0000000080000000, INSTR: 0x08005337, REG x6: 0x0000000008005000
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xffebf0b7, REG x1: 0xffffffffffebf000
PC: 0x0000000080000098, INSTR: 0x6730809b, REG x1: 0xffffffffffebf673
PC: 0x000000008000009c, INSTR: 0x00f09093, REG x1: 0xfffffff5fb398000
PC: 0x00000000800000a0, INSTR: 0x4ed08093, REG x1: 0xfffffff5fb3984ed
PC: 0x00000000800000a4, INSTR: 0x00f09093, REG x1: 0xfffafd9cc2768000
PC: 0x00000000800000a8, INSTR: 0x6f308093, REG x1: 0xfffafd9cc27686f3
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0xafd9cc27686f3000
PC: 0x00000000800000b0, INSTR: 0xfec08093, REG x1: 0xafd9cc27686f2fec
PC: 0x00000000800000b4, INSTR: 0x000e61b7, REG x3: 0x00000000000e6000
PC: 0x00000000800000b8, INSTR: 0xa931819b, REG x3: 0x00000000000e5a93
PC: 0x00000000800000bc, INSTR: 0x00f19193, REG x3: 0x000000072d498000
PC: 0x00000000800000c0, INSTR: 0xf4f18193, REG x3: 0x000000072d497f4f
PC: 0x00000000800000c4, INSTR: 0x00c19193, REG x3: 0x000072d497f4f000
PC: 0x00000000800000c8, INSTR: 0xf1318193, REG x3: 0x000072d497f4ef13
PC: 0x00000000800000cc, INSTR: 0x00f19193, REG x3: 0x396a4bfa77898000
PC: 0x00000000800000d0, INSTR: 0x96718193, REG x3: 0x396a4bfa77897967
PC: 0x00000000800000d4, INSTR: 0x0244a237, REG x4: 0x000000000244a000
PC: 0x00000000800000d8, INSTR: 0xb272021b, REG x4: 0x0000000002449b27
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0x0000002449b27000
PC: 0x00000000800000e0, INSTR: 0x26920213, REG x4: 0x0000002449b27269
PC: 0x00000000800000e4, INSTR: 0x00d21213, REG x4: 0x000489364e4d2000
PC: 0x00000000800000e8, INSTR: 0x7ed20213, REG x4: 0x000489364e4d27ed
PC: 0x00000000800000ec, INSTR: 0x00c21213, REG x4: 0x489364e4d27ed000
PC: 0x00000000800000f0, INSTR: 0x08420213, REG x4: 0x489364e4d27ed084
PC: 0x00000000800000f4, INSTR: 0x00e3f2b7, REG x5: 0x0000000000e3f000
PC: 0x00000000800000f8, INSTR: 0x9e72829b, REG x5: 0x0000000000e3e9e7
PC: 0x00000000800000fc, INSTR: 0x00c29293, REG x5: 0x0000000e3e9e7000
PC: 0x0000000080000100, INSTR: 0x35728293, REG x5: 0x0000000e3e9e7357
PC: 0x0000000080000104, INSTR: 0x00f29293, REG x5: 0x00071f4f39ab8000
PC: 0x0000000080000108, INSTR: 0xa4528293, REG x5: 0x00071f4f39ab7a45
PC: 0x000000008000010c, INSTR: 0x00c29293, REG x5: 0x71f4f39ab7a45000
PC: 0x0000000080000110, INSTR: 0xb2328293, REG x5: 0x71f4f39ab7a44b23
PC: 0x0000000080000114, INSTR: 0xfe22d337, REG x6: 0xfffffffffe22d000
PC: 0x0000000080000118, INSTR: 0xc1b3031b, REG x6: 0xfffffffffe22cc1b
PC: 0x000000008000011c, INSTR: 0x00e31313, REG x6: 0xffffff88b306c000
PC: 0x0000000080000120, INSTR: 0x88b30313, REG x6: 0xffffff88b306b88b
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0xfff88b306b88b000
PC: 0x0000000080000128, INSTR: 0xa4530313, REG x6: 0xfff88b306b88aa45
PC: 0x000000008000012c, INSTR: 0x00c31313, REG x6: 0x88b306b88aa45000
PC: 0x0000000080000130, INSTR: 0xd8c30313, REG x6: 0x88b306b88aa44d8c
PC: 0x0000000080000134, INSTR: 0x0046c3b7, REG x7: 0x000000000046c000
PC: 0x0000000080000138, INSTR: 0x7cf3839b, REG x7: 0x000000000046c7cf
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x000000046c7cf000
PC: 0x0000000080000140, INSTR: 0x40138393, REG x7: 0x000000046c7cf401
PC: 0x0000000080000144, INSTR: 0x00d39393, REG x7: 0x00008d8f9e802000
PC: 0x0000000080000148, INSTR: 0x44538393, REG x7: 0x00008d8f9e802445
PC: 0x000000008000014c, INSTR: 0x00d39393, REG x7: 0x11b1f3d00488a000
PC: 0x0000000080000150, INSTR: 0x41a38393, REG x7: 0x11b1f3d00488a41a
PC: 0x0000000080000154, INSTR: 0xff947437, REG x8: 0xffffffffff947000
PC: 0x0000000080000158, INSTR: 0x5374041b, REG x8: 0xffffffffff947537
PC: 0x000000008000015c, INSTR: 0x00d41413, REG x8: 0xfffffff28ea6e000
PC: 0x0000000080000160, INSTR: 0x6cb40413, REG x8: 0xfffffff28ea6e6cb
PC: 0x0000000080000164, INSTR: 0x00e41413, REG x8: 0xfffca3a9b9b2c000
PC: 0x0000000080000168, INSTR: 0xd5140413, REG x8: 0xfffca3a9b9b2bd51
PC: 0x000000008000016c, INSTR: 0x00c41413, REG x8: 0xca3a9b9b2bd51000
PC: 0x0000000080000170, INSTR: 0xb6e40413, REG x8: 0xca3a9b9b2bd50b6e
PC: 0x0000000080000174, INSTR: 0x026064b7, REG x9: 0x0000000002606000
PC: 0x0000000080000178, INSTR: 0x1434849b, REG x9: 0x0000000002606143
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0x0000004c0c286000
PC: 0x0000000080000180, INSTR: 0x6f948493, REG x9: 0x0000004c0c2866f9
PC: 0x0000000080000184, INSTR: 0x00c49493, REG x9: 0x0004c0c2866f9000
PC: 0x0000000080000188, INSTR: 0x9cb48493, REG x9: 0x0004c0c2866f89cb
PC: 0x000000008000018c, INSTR: 0x00c49493, REG x9: 0x4c0c2866f89cb000
PC: 0x0000000080000190, INSTR: 0x44848493, REG x9: 0x4c0c2866f89cb448
PC: 0x0000000080000194, INSTR: 0x002dc537, REG x10: 0x00000000002dc000
PC: 0x0000000080000198, INSTR: 0xb295051b, REG x10: 0x00000000002dbb29
PC: 0x000000008000019c, INSTR: 0x00f51513, REG x10: 0x00000016dd948000
PC: 0x00000000800001a0, INSTR: 0x60f50513, REG x10: 0x00000016dd94860f
PC: 0x00000000800001a4, INSTR: 0x00d51513, REG x10: 0x0002dbb290c1e000
PC: 0x00000000800001a8, INSTR: 0x0f150513, REG x10: 0x0002dbb290c1e0f1
PC: 0x00000000800001ac, INSTR: 0x00d51513, REG x10: 0x5b7652183c1e2000
PC: 0x00000000800001b0, INSTR: 0x6c650513, REG x10: 0x5b7652183c1e26c6
PC: 0x00000000800001b4, INSTR: 0xffe9f5b7, REG x11: 0xffffffffffe9f000
PC: 0x00000000800001b8, INSTR: 0x8795859b, REG x11: 0xffffffffffe9e879
PC: 0x00000000800001bc, INSTR: 0x00f59593, REG x11: 0xfffffff4f43c8000
PC: 0x00000000800001c0, INSTR: 0x82958593, REG x11: 0xfffffff4f43c7829
PC: 0x00000000800001c4, INSTR: 0x00c59593, REG x11: 0xffff4f43c7829000
PC: 0x00000000800001c8, INSTR: 0x04958593, REG x11: 0xffff4f43c7829049
PC: 0x00000000800001cc, INSTR: 0x00c59593, REG x11: 0xf4f43c7829049000
PC: 0x00000000800001d0, INSTR: 0xc0858593, REG x11: 0xf4f43c7829048c08
PC: 0x00000000800001d4, INSTR: 0xfec3e637, REG x12: 0xfffffffffec3e000
PC: 0x00000000800001d8, INSTR: 0x22f6061b, REG x12: 0xfffffffffec3e22f
PC: 0x00000000800001dc, INSTR: 0x00d61613, REG x12: 0xffffffd87c45e000
PC: 0x00000000800001e0, INSTR: 0x11160613, REG x12: 0xffffffd87c45e111
PC: 0x00000000800001e4, INSTR: 0x00d61613, REG x12: 0xfffb0f88bc222000
PC: 0x00000000800001e8, INSTR: 0x6e960613, REG x12: 0xfffb0f88bc2226e9
PC: 0x00000000800001ec, INSTR: 0x00c61613, REG x12: 0xb0f88bc2226e9000
PC: 0x00000000800001f0, INSTR: 0xaeb60613, REG x12: 0xb0f88bc2226e8aeb
PC: 0x00000000800001f4, INSTR: 0x001cf6b7, REG x13: 0x00000000001cf000
PC: 0x00000000800001f8, INSTR: 0xb8f6869b, REG x13: 0x00000000001ceb8f
PC: 0x00000000800001fc, INSTR: 0x01169693, REG x13: 0x00000039d71e0000
PC: 0x0000000080000200, INSTR: 0xbe968693, REG x13: 0x00000039d71dfbe9
PC: 0x0000000080000204, INSTR: 0x00d69693, REG x13: 0x00073ae3bf7d2000
PC: 0x0000000080000208, INSTR: 0xfb368693, REG x13: 0x00073ae3bf7d1fb3
PC: 0x000000008000020c, INSTR: 0x00c69693, REG x13: 0x73ae3bf7d1fb3000
PC: 0x0000000080000210, INSTR: 0x2a468693, REG x13: 0x73ae3bf7d1fb32a4
PC: 0x0000000080000214, INSTR: 0x00652737, REG x14: 0x0000000000652000
PC: 0x0000000080000218, INSTR: 0x63b7071b, REG x14: 0x000000000065263b
PC: 0x000000008000021c, INSTR: 0x00d71713, REG x14: 0x0000000ca4c76000
PC: 0x0000000080000220, INSTR: 0x59f70713, REG x14: 0x0000000ca4c7659f
PC: 0x0000000080000224, INSTR: 0x00c71713, REG x14: 0x0000ca4c7659f000
PC: 0x0000000080000228, INSTR: 0x4b770713, REG x14: 0x0000ca4c7659f4b7
PC: 0x000000008000022c, INSTR: 0x00d71713, REG x14: 0x19498ecb3e96e000
PC: 0x0000000080000230, INSTR: 0xd2d70713, REG x14: 0x19498ecb3e96dd2d
PC: 0x0000000080000234, INSTR: 0xfa7467b7, REG x15: 0xfffffffffa746000
PC: 0x0000000080000238, INSTR: 0xc8b7879b, REG x15: 0xfffffffffa745c8b
PC: 0x000000008000023c, INSTR: 0x00c79793, REG x15: 0xffffffa745c8b000
PC: 0x0000000080000240, INSTR: 0x8fd78793, REG x15: 0xffffffa745c8a8fd
PC: 0x0000000080000244, INSTR: 0x00c79793, REG x15: 0xfffa745c8a8fd000
PC: 0x0000000080000248, INSTR: 0x8eb78793, REG x15: 0xfffa745c8a8fc8eb
PC: 0x000000008000024c, INSTR: 0x00c79793, REG x15: 0xa745c8a8fc8eb000
PC: 0x0000000080000250, INSTR: 0xcec78793, REG x15: 0xa745c8a8fc8eacec
PC: 0x0000000080000254, INSTR: 0x30117837, REG x16: 0x0000000030117000
PC: 0x0000000080000258, INSTR: 0xacf8081b, REG x16: 0x0000000030116acf
PC: 0x000000008000025c, INSTR: 0x01381813, REG x16: 0x0001808b56780000
PC: 0x0000000080000260, INSTR: 0x89b80813, REG x16: 0x0001808b5677f89b
PC: 0x0000000080000264, INSTR: 0x00d81813, REG x16: 0x30116aceff136000
PC: 0x0000000080000268, INSTR: 0x0d280813, REG x16: 0x30116aceff1360d2
PC: 0x000000008000026c, INSTR: 0xff1998b7, REG x17: 0xffffffffff199000
PC: 0x0000000080000270, INSTR: 0xc3b8889b, REG x17: 0xffffffffff198c3b
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0xffffffe331876000
PC: 0x0000000080000278, INSTR: 0x8e188893, REG x17: 0xffffffe3318758e1
PC: 0x000000008000027c, INSTR: 0x00d89893, REG x17: 0xfffc6630eb1c2000
PC: 0x0000000080000280, INSTR: 0xe6f88893, REG x17: 0xfffc6630eb1c1e6f
PC: 0x0000000080000284, INSTR: 0x00c89893, REG x17: 0xc6630eb1c1e6f000
PC: 0x0000000080000288, INSTR: 0x30688893, REG x17: 0xc6630eb1c1e6f306
PC: 0x000000008000028c, INSTR: 0x00496937, REG x18: 0x0000000000496000
PC: 0x0000000080000290, INSTR: 0xd559091b, REG x18: 0x0000000000495d55
PC: 0x0000000080000294, INSTR: 0x00d91913, REG x18: 0x000000092baaa000
PC: 0x0000000080000298, INSTR: 0xe1590913, REG x18: 0x000000092baa9e15
PC: 0x000000008000029c, INSTR: 0x00d91913, REG x18: 0x0001257553c2a000
PC: 0x00000000800002a0, INSTR: 0x3ad90913, REG x18: 0x0001257553c2a3ad
PC: 0x00000000800002a4, INSTR: 0x00c91913, REG x18: 0x1257553c2a3ad000
PC: 0x00000000800002a8, INSTR: 0x93590913, REG x18: 0x1257553c2a3ac935
PC: 0x00000000800002ac, INSTR: 0xfe8b49b7, REG x19: 0xfffffffffe8b4000
PC: 0x00000000800002b0, INSTR: 0xbbd9899b, REG x19: 0xfffffffffe8b3bbd
PC: 0x00000000800002b4, INSTR: 0x00c99993, REG x19: 0xffffffe8b3bbd000
PC: 0x00000000800002b8, INSTR: 0xb1f98993, REG x19: 0xffffffe8b3bbcb1f
PC: 0x00000000800002bc, INSTR: 0x00c99993, REG x19: 0xfffe8b3bbcb1f000
PC: 0x00000000800002c0, INSTR: 0xdef98993, REG x19: 0xfffe8b3bbcb1edef
PC: 0x00000000800002c4, INSTR: 0x00d99993, REG x19: 0xd16777963dbde000
PC: 0x00000000800002c8, INSTR: 0x8cc98993, REG x19: 0xd16777963dbdd8cc
PC: 0x00000000800002cc, INSTR: 0xdb7f8a37, REG x20: 0xffffffffdb7f8000
PC: 0x00000000800002d0, INSTR: 0xfe5a0a1b, REG x20: 0xffffffffdb7f7fe5
PC: 0x00000000800002d4, INSTR: 0x011a1a13, REG x20: 0xffffb6feffca0000
PC: 0x00000000800002d8, INSTR: 0xda5a0a13, REG x20: 0xffffb6feffc9fda5
PC: 0x00000000800002dc, INSTR: 0x010a1a13, REG x20: 0xb6feffc9fda50000
PC: 0x00000000800002e0, INSTR: 0xca1a0a13, REG x20: 0xb6feffc9fda4fca1
PC: 0x00000000800002e4, INSTR: 0x48565ab7, REG x21: 0x0000000048565000
PC: 0x00000000800002e8, INSTR: 0xc1fa8a9b, REG x21: 0x0000000048564c1f
PC: 0x00000000800002ec, INSTR: 0x00fa9a93, REG x21: 0x0000242b260f8000
PC: 0x00000000800002f0, INSTR: 0x7bfa8a93, REG x21: 0x0000242b260f87bf
PC: 0x00000000800002f4, INSTR: 0x010a9a93, REG x21: 0x242b260f87bf0000
PC: 0x00000000800002f8, INSTR: 0x800a8a93, REG x21: 0x242b260f87bef800
PC: 0x00000000800002fc, INSTR: 0xed5a8a93, REG x21: 0x242b260f87bef6d5
PC: 0x0000000080000300, INSTR: 0xc56e6b37, REG x22: 0xffffffffc56e6000
PC: 0x0000000080000304, INSTR: 0x84fb0b1b, REG x22: 0xffffffffc56e584f
PC: 0x0000000080000308, INSTR: 0x011b1b13, REG x22: 0xffff8adcb09e0000
PC: 0x000000008000030c, INSTR: 0x21db0b13, REG x22: 0xffff8adcb09e021d
PC: 0x0000000080000310, INSTR: 0x00cb1b13, REG x22: 0xf8adcb09e021d000
PC: 0x0000000080000314, INSTR: 0x8b7b0b13, REG x22: 0xf8adcb09e021c8b7
PC: 0x0000000080000318, INSTR: 0x004b1b13, REG x22: 0x8adcb09e021c8b70
PC: 0x000000008000031c, INSTR: 0x02ca6bb7, REG x23: 0x0000000002ca6000
PC: 0x0000000080000320, INSTR: 0xb75b8b9b, REG x23: 0x0000000002ca5b75
PC: 0x0000000080000324, INSTR: 0x00db9b93, REG x23: 0x000000594b6ea000
PC: 0x0000000080000328, INSTR: 0xe95b8b93, REG x23: 0x000000594b6e9e95
PC: 0x000000008000032c, INSTR: 0x00cb9b93, REG x23: 0x000594b6e9e95000
PC: 0x0000000080000330, INSTR: 0x6f7b8b93, REG x23: 0x000594b6e9e956f7
PC: 0x0000000080000334, INSTR: 0x00cb9b93, REG x23: 0x594b6e9e956f7000
PC: 0x0000000080000338, INSTR: 0x831b8b93, REG x23: 0x594b6e9e956f6831
PC: 0x000000008000033c, INSTR: 0xffdc1c37, REG x24: 0xffffffffffdc1000
PC: 0x0000000080000340, INSTR: 0xf25c0c1b, REG x24: 0xffffffffffdc0f25
PC: 0x0000000080000344, INSTR: 0x00dc1c13, REG x24: 0xfffffffb81e4a000
PC: 0x0000000080000348, INSTR: 0x31bc0c13, REG x24: 0xfffffffb81e4a31b
PC: 0x000000008000034c, INSTR: 0x00dc1c13, REG x24: 0xffff703c94636000
PC: 0x0000000080000350, INSTR: 0xb75c0c13, REG x24: 0xffff703c94635b75
PC: 0x0000000080000354, INSTR: 0x00ec1c13, REG x24: 0xdc0f2518d6dd4000
PC: 0x0000000080000358, INSTR: 0x1bcc0c13, REG x24: 0xdc0f2518d6dd41bc
PC: 0x000000008000035c, INSTR: 0xff689cb7, REG x25: 0xffffffffff689000
PC: 0x0000000080000360, INSTR: 0xee7c8c9b, REG x25: 0xffffffffff688ee7
PC: 0x0000000080000364, INSTR: 0x00dc9c93, REG x25: 0xffffffed11dce000
PC: 0x0000000080000368, INSTR: 0xf19c8c93, REG x25: 0xffffffed11dcdf19
PC: 0x000000008000036c, INSTR: 0x00ec9c93, REG x25: 0xfffb447737c64000
PC: 0x0000000080000370, INSTR: 0xc13c8c93, REG x25: 0xfffb447737c63c13
PC: 0x0000000080000374, INSTR: 0x00cc9c93, REG x25: 0xb447737c63c13000
PC: 0x0000000080000378, INSTR: 0x8e9c8c93, REG x25: 0xb447737c63c128e9
PC: 0x000000008000037c, INSTR: 0x00e2ed37, REG x26: 0x0000000000e2e000
PC: 0x0000000080000380, INSTR: 0x7fdd0d1b, REG x26: 0x0000000000e2e7fd
PC: 0x0000000080000384, INSTR: 0x00ed1d13, REG x26: 0x00000038b9ff4000
PC: 0x0000000080000388, INSTR: 0x6b9d0d13, REG x26: 0x00000038b9ff46b9
PC: 0x000000008000038c, INSTR: 0x00dd1d13, REG x26: 0x0007173fe8d72000
PC: 0x0000000080000390, INSTR: 0xb6fd0d13, REG x26: 0x0007173fe8d71b6f
PC: 0x0000000080000394, INSTR: 0x00cd1d13, REG x26: 0x7173fe8d71b6f000
PC: 0x0000000080000398, INSTR: 0xd47d0d13, REG x26: 0x7173fe8d71b6ed47
PC: 0x000000008000039c, INSTR: 0x0078fdb7, REG x27: 0x000000000078f000
PC: 0x00000000800003a0, INSTR: 0xc11d8d9b, REG x27: 0x000000000078ec11
PC: 0x00000000800003a4, INSTR: 0x00dd9d93, REG x27: 0x0000000f1d822000
PC: 0x00000000800003a8, INSTR: 0xce9d8d93, REG x27: 0x0000000f1d821ce9
PC: 0x00000000800003ac, INSTR: 0x00fd9d93, REG x27: 0x00078ec10e748000
PC: 0x00000000800003b0, INSTR: 0x98bd8d93, REG x27: 0x00078ec10e74798b
PC: 0x00000000800003b4, INSTR: 0x00cd9d93, REG x27: 0x78ec10e74798b000
PC: 0x00000000800003b8, INSTR: 0x4b3d8d93, REG x27: 0x78ec10e74798b4b3
PC: 0x00000000800003bc, INSTR: 0xfed78e37, REG x28: 0xfffffffffed78000
PC: 0x00000000800003c0, INSTR: 0x4fbe0e1b, REG x28: 0xfffffffffed784fb
PC: 0x00000000800003c4, INSTR: 0x00ee1e13, REG x28: 0xffffffb5e13ec000
PC: 0x00000000800003c8, INSTR: 0x569e0e13, REG x28: 0xffffffb5e13ec569
PC: 0x00000000800003cc, INSTR: 0x00ce1e13, REG x28: 0xfffb5e13ec569000
PC: 0x00000000800003d0, INSTR: 0x94de0e13, REG x28: 0xfffb5e13ec56894d
PC: 0x00000000800003d4, INSTR: 0x00ce1e13, REG x28: 0xb5e13ec56894d000
PC: 0x00000000800003d8, INSTR: 0x18fe0e13, REG x28: 0xb5e13ec56894d18f
PC: 0x00000000800003dc, INSTR: 0x003deeb7, REG x29: 0x00000000003de000
PC: 0x00000000800003e0, INSTR: 0xf27e8e9b, REG x29: 0x00000000003ddf27
PC: 0x00000000800003e4, INSTR: 0x00ce9e93, REG x29: 0x00000003ddf27000
PC: 0x00000000800003e8, INSTR: 0x201e8e93, REG x29: 0x00000003ddf27201
PC: 0x00000000800003ec, INSTR: 0x00de9e93, REG x29: 0x00007bbe4e402000
PC: 0x00000000800003f0, INSTR: 0x6e7e8e93, REG x29: 0x00007bbe4e4026e7
PC: 0x00000000800003f4, INSTR: 0x00fe9e93, REG x29: 0x3ddf272013738000
PC: 0x00000000800003f8, INSTR: 0xdf0e8e93, REG x29: 0x3ddf272013737df0
PC: 0x00000000800003fc, INSTR: 0x00586f37, REG x30: 0x0000000000586000
PC: 0x0000000080000400, INSTR: 0xf45f0f1b, REG x30: 0x0000000000585f45
PC: 0x0000000080000404, INSTR: 0x00df1f13, REG x30: 0x0000000b0be8a000
PC: 0x0000000080000408, INSTR: 0x48ff0f13, REG x30: 0x0000000b0be8a48f
PC: 0x000000008000040c, INSTR: 0x00ff1f13, REG x30: 0x000585f452478000
PC: 0x0000000080000410, INSTR: 0xb6bf0f13, REG x30: 0x000585f452477b6b
PC: 0x0000000080000414, INSTR: 0x00cf1f13, REG x30: 0x585f452477b6b000
PC: 0x0000000080000418, INSTR: 0x70ef0f13, REG x30: 0x585f452477b6b70e
PC: 0x000000008000041c, INSTR: 0x0340efb7, REG x31: 0x000000000340e000
PC: 0x0000000080000420, INSTR: 0xbc1f8f9b, REG x31: 0x000000000340dbc1
PC: 0x0000000080000424, INSTR: 0x00cf9f93, REG x31: 0x000000340dbc1000
PC: 0x0000000080000428, INSTR: 0x4b5f8f93, REG x31: 0x000000340dbc14b5
PC: 0x000000008000042c, INSTR: 0x00df9f93, REG x31: 0x000681b78296a000
PC: 0x0000000080000430, INSTR: 0x2c5f8f93, REG x31: 0x000681b78296a2c5
PC: 0x0000000080000434, INSTR: 0x00cf9f93, REG x31: 0x681b78296a2c5000
PC: 0x0000000080000438, INSTR: 0x7d8f8f93, REG x31: 0x681b78296a2c57d8
PC: 0x000000008000043c, INSTR: 0x64d000ef, REG x1: 0x0000000080000440
PC: 0x0000000080001288, INSTR: 0xff010113, REG x2: 0x000000008004fef0
PC: 0x000000008000128c, INSTR: 0x01c13023, MEM 0x000000008004fef0: 0xb5e13ec56894d18f
PC: 0x0000000080001290, INSTR: 0xff010113, REG x2: 0x000000008004fee0
PC: 0x0000000080001294, INSTR: 0x01213023, MEM 0x000000008004fee0: 0x1257553c2a3ac935
PC: 0x0000000080001298, INSTR: 0xff010113, REG x2: 0x000000008004fed0
PC: 0x000000008000129c, INSTR: 0x01913023, MEM 0x000000008004fed0: 0xb447737c63c128e9
PC: 0x00000000800012a0, INSTR: 0xff010113, REG x2: 0x000000008004fec0
PC: 0x00000000800012a4, INSTR: 0x00613023, MEM 0x000000008004fec0: 0x88b306b88aa44d8c
PC: 0x00000000800012a8, INSTR: 0xff010113, REG x2: 0x000000008004feb0
PC: 0x00000000800012ac, INSTR: 0x00113023, MEM 0x000000008004feb0: 0x0000000080000440
PC: 0x00000000800012b0, INSTR: 0xff010113, REG x2: 0x000000008004fea0
PC: 0x00000000800012b4, INSTR: 0x01813023, MEM 0x000000008004fea0: 0xdc0f2518d6dd41bc
PC: 0x00000000800012b8, INSTR: 0xff010113, REG x2: 0x000000008004fe90
PC: 0x00000000800012bc, INSTR: 0x01f13023, MEM 0x000000008004fe90: 0x681b78296a2c57d8
PC: 0x00000000800012c0, INSTR: 0xff010113, REG x2: 0x000000008004fe80
PC: 0x00000000800012c4, INSTR: 0x00c13023, MEM 0x000000008004fe80: 0xb0f88bc2226e8aeb
PC: 0x00000000800012c8, INSTR: 0xff010113, REG x2: 0x000000008004fe70
PC: 0x00000000800012cc, INSTR: 0x01a13023, MEM 0x000000008004fe70: 0x7173fe8d71b6ed47
PC: 0x00000000800012d0, INSTR: 0xff010113, REG x2: 0x000000008004fe60
PC: 0x00000000800012d4, INSTR: 0x00713023, MEM 0x000000008004fe60: 0x11b1f3d00488a41a
PC: 0x00000000800012d8, INSTR: 0x01ac9c9b, REG x25: 0xffffffffa4000000
PC: 0x00000000800012dc, INSTR: 0x86646913, REG x18: 0xfffffffffffffb6e
PC: 0x00000000800012e0, INSTR: 0x40a4dd1b, REG x26: 0xfffffffffffe272d
PC: 0x00000000800012e4, INSTR: 0x4022de13, REG x28: 0x1c7d3ce6ade912c8
PC: 0x00000000800012e8, INSTR: 0x40645313, REG x6: 0xff28ea6e6caf542d
PC: 0x00000000800012ec, INSTR: 0x00d813b3, REG x7: 0xf1360d2000000000
PC: 0x00000000800012f0, INSTR: 0x09664f93, REG x31: 0xb0f88bc2226e8a7d
PC: 0x00000000800012f4, INSTR: 0x42345613, REG x12: 0xfffffffff9475373
PC: 0x00000000800012f8, INSTR: 0x433cdc13, REG x24: 0xffffffffffffffff
PC: 0x00000000800012fc, INSTR: 0x426c5093, REG x1: 0xffffffffffffffff
PC: 0x0000000080001300, INSTR: 0x00013383, REG x7: 0x11b1f3d00488a41a, MEM 0x000000008004fe60
PC: 0x0000000080001304, INSTR: 0x01010113, REG x2: 0x000000008004fe70
